"alpha_SF" "M2L"
0.0625 113488.666127212
0.125 109513.252746324
0.1875 105213.658835352
0.25 100553.402210778
0.3125 95515.1358842142
0.375 90071.6248687939
0.4375 84212.5454167608
0.5 77947.3111071714
0.5625 71306.8945538252
0.625 64357.9454956106
0.6875 57198.7341243501
0.75 49974.9636246442
0.8125 42862.0897864614
0.875 36048.7034892357
0.9375 29723.8293312904
1 24036.4534112886
1.0625 19083.1119348454
1.125 14903.0001978111
1.1875 11475.9202137377
1.25 8738.92702902725
1.3125 6601.08915465949
1.375 4961.94159486313
1.4375 3724.26706935755
1.5 2800.09671793838
1.5625 2115.55552343443
1.625 1611.23001467831
1.6875 1240.36670927661
1.75 967.653898340449
1.8125 766.469787771722
1.875 617.408663183205
1.9375 506.176058159549
2 422.489829286504
2.0625 358.877787756186
2.125 309.974235155403
2.1875 271.944142016412
2.25 241.986238257482
2.3125 218.091662330483
2.375 198.767641572083
2.4375 182.96458449481
2.5 169.88355489594
2.5625 158.925477630856
2.625 149.662566043856
2.6875 141.745667567518
2.75 134.93012907441
2.8125 129.012049913927
2.875 123.833426173832
2.9375 119.280135804151
3 115.245287197234
3.0625 111.653569248144
3.125 108.440176392856
3.1875 105.552539779596
3.25 102.94635181913
3.3125 100.585608847023
3.375 98.4414278606504
3.4375 96.4819455265441
3.5 94.6885630874622
3.5625 93.0440823729472
3.625 91.5314070322855
3.6875 90.1279481035636
3.75 88.8363264870109
3.8125 87.6368071204874
3.875 86.5175387803146
3.9375 85.4810233815337
4 84.5138952563994
