"wave" "response"
14952242.2942643 0.003878017
14878037.617866 0.0037469608
14804565.8271605 0.0036159046
14731816.1179361 0.0034848485
14659777.8973105 0.0033537923
14588440.7785888 0.0032227362
14517794.5762712 0.00309168
14447829.3012048 0.0029606239
14378535.1558753 0.0028295677
14309902.5298329 0.0026985115
14241921.9952494 0.0025674554
14174584.3026005 0.0024363992
14107880.3764706 0.0023053431
14041801.3114754 0.0021742869
13976338.3682984 0.0020432307
13911482.9698376 0.0018990062
13847226.6974596 0.0017294041
13783561.2873563 0.001559802
13720478.6270023 0.0013901999
13657970.7517084 0.0012205978
13596029.8412698 0.0010509957
13534648.2167043 0.00088139365
13473818.3370787 0.00071179157
13413532.7964206 0.00054218948
13353784.3207127 0.00037258739
13294565.7649667 0.0002029853
13235870.1103753 3.3383216e-05
13177690.4615385 0.0028605963
13120020.0437637 0.0064222401
13062852.2004357 0.009983884
13006180.3904555 0.013545528
12949998.1857451 0.046810176
12894299.2688172 0.089041096
12839077.4304069 0.17823875
12784326.5671642 0.30636986
12730040.6794055 0.451182
12676213.8689218 0.53029354
12622840.3368421 0.58219178
12569914.3815514 0.63905284
12517430.3966597 0.68976125
12465382.8690229 0.6946184
12413766.3768116 0.6303816
12362575.5876289 0.58175846
12311805.2566735 0.61512161
12261450.2249489 0.6199913
12211505.4175153 0.6065362
12161965.841785 0.6097566
12112826.5858586 0.6254342
12064082.8169014 0.64111179
12015729.7795591 0.65678938
11967762.7944112 0.63870282
11920177.2564612 0.62048141
11872968.6336634 0.61294847
11826132.4654832 0.63120896
11779664.3614931 0.65425217
11733560 0.69626503
11687815.1267057 0.73503425
11642425.5533981 0.7717955
11597387.1566731 0.88302022
11552695.8766859 0.97887965
11508347.7159309 0.9983953
11464338.7380497 0.97557339
11420665.0666667 0.91780822
11377322.8842505 0.82823386
11334308.4310019 0.76954012
11291618.0037665 0.71812133
11249247.9549719 0.73479452
11207194.6915888 0.76123288
11165454.6741155 0.76760763
11124024.4155844 0.74271037
11082900.4805915 0.75326419
11042079.4843462 0.81440313
11001558.0917431 0.8425636
10961333.0164534 0.83391389
10921401.0200364 0.86872309
10881758.9110708 0.92934932
10842403.5443038 0.98749511
10803331.8198198 0.96154599
10764540.6822262 0.93045662
10726027.1198569 0.89462818
10687788.1639929 0.87588715
10649820.8880995 0.84429354
10612122.4070796 0.81418787
10574689.8765432 0.80010437
10537520.4920914 0.82317025
10500611.4886165 0.85024136
10463960.1396161 0.83678626
10427563.7565217 0.82401454
10391419.6880416 0.81063601
10355525.3195164 0.76969178
10319878.0722892 0.71810176
10284475.4030875 0.61942759
10249314.8034188 0.57052348
10214393.7989779 0.54100084
10179709.9490662 0.55088622
10145260.8460237 0.53758643
10111044.1146712 0.51172603
10077057.4117647 0.48232224
10043298.4254606 0.45925636
10009764.8747913 0.4287182
9976454.50915141 0.34963796
9943365.10779436 0.23922374
9910494.47933884 0.17391389
9877840.46128501 0.13845646
9845400.91954023 0.12007583
9813173.74795417 0.10157954
9781156.86786297 0.086495286
9749348.22764228 0.088854296
9717745.80226904 0.091213307
9686347.59289176 0.078323549
9655151.62640902 0.05630137
9624155.95505618 0.040797456
9593358.656 0.040076647
9562757.83094099 0.039355838
9532351.60572337 0.03248728
9502138.12995246 0.022972603
9472115.57661927 0.016893113
9442282.14173228 0.01524555
9412636.04395604 0.013597987
9383175.52425665 0.011950424
9353898.84555382 0.010302861
9324804.29237947 0.0099329746
9295890.17054264 0.010149217
9267154.80680062 0.01036546
9238596.54853621 0.010581703
9210213.76344086 0.010797945
9182004.83920368 0.011014188
9153968.18320611 0.011230431
9126102.22222222 0.011446673
9098405.40212443 0.011662916
9070876.18759455 0.011517233
9043513.06184012 0.011164184
9016314.52631579 0.010811135
8989279.10044977 0.010458085
8962405.32137519 0.010105036
8935691.74366617 0.0097519869
8909136.93907875 0.0093989377
8882739.4962963 0.0090458884
8856498.02067947 0.0086928392
8830411.13402062 0.0083397899
8804477.4743025 0.0079867407
8778695.6954612 0.0078277886
8753064.46715328 0.0078277886
8727582.47452693 0.0078277886
8702248.4179971 0.0078277886
8677061.0130246 0.0078277886
8652018.98989899 0.0078277886
8627121.09352518 0.0078277886
8602366.08321377 0.0078277886
8577752.73247496 0.0078277886
8553279.82881598 0.0078277886
