"wave" "response"
28275305.2192264 0
28139248.4810712 0
28004191.3931931 0
27870121.4091332 0
27737028.773219 0
27604901.3099951 0
27473729.5783859 0
27343504.253992 0
27214213.6569225 0
27085846.3134992 0
26958395.8002115 0
26831850.9063854 0
26706202.9968356 0
26581438.8261739 0
26457554.7662216 0
26334535.5465441 0
26212377.7122034 0
26091068.6493477 0
25970600.5059803 0
25850963.2916572 0
25732151.6044675 0
25614155.6715123 0
25496963.7183027 0
25380572.8077148 0
25264971.4101706 0.00015427184
25150152.4525161 0.00039456622
25036108.9400449 0.0006348606
24922829.8116134 0.00087515498
24810312.4448364 0.0011154494
24698543.9685512 0.0013557437
24587521.8877918 0.0015960381
24477233.6405012 0.0021316317
24367676.8533921 0.0028043596
24258841.2268259 0.0034770874
24150720.5602721 0.0041498153
24043306.7901274 0.0048225432
23936593.8966857 0.0063046366
23830575.9227228 0.008115144
23725245.0951491 0.0099256514
23620595.6290241 0.011736159
23516618.1091457 0.013546666
23413310.6223193 0.015357173
23310662.1203252 0.017365408
23208670.7855481 0.019979889
23107325.8231864 0.022594369
23006625.506947 0.025208849
22906559.2878769 0.027823329
22807125.5269431 0.033714495
22708313.9137521 0.040591682
22610122.8926541 0.04746887
22512542.3847945 0.054346057
22415570.9142052 0.061223244
22319200.2884446 0.068100431
22223425.7701856 0.074977619
22128241.0329469 0.087582595
22033641.4690914 0.10042454
21939620.9077699 0.11326649
21846174.8666333 0.13114433
21753297.3255687 0.15039248
21660983.9232873 0.17243526
21569228.7857017 0.19447804
21478027.6685222 0.22211468
21387374.8391537 0.2511937
21297266.1664028 0.27482024
21207694.5545434 0.29797467
21118658.9948167 0.31912219
21030151.03648 0.338808
20942169.7262354 0.3649634
20854706.7920021 0.38354295
20767758.4561644 0.40359516
20681322.398953 0.41419643
20595390.6246297 0.42384597
20509962.3251658 0.43299376
20425031.0624302 0.43906554
20340591.9003327 0.44326518
20256642.7141719 0.4467239
20173177.2894104 0.44974882
20090193.5676524 0.44765048
20007684.1317187 0.44746109
19925648.3442686 0.45227293
19844080.2520619 0.45652174
19762975.316293 0.45615072
19682331.6494603 0.45390613
19602144.7822852 0.45393428
19522409.0399233 0.45515818
19443122.6362684 0.45699815
19364280.0140165 0.45553661
19285879.4411792 0.44902235
19207916.7055095 0.43184544
19130386.4352321 0.40947756
19053286.9907773 0.3904016
18976614.3108667 0.3642002
18900364.3928099 0.33660052
18824533.2914721 0.31102423
18749119.463414 0.28511193
18674117.8562072 0.25301308
18599525.8180383 0.21901675
18525338.4249841 0.18936702
18451555.3858479 0.16392134
18378170.7203364 0.13847567
18305181.9256022 0.11754449
18232586.5143703 0.10106383
18160380.9147889 0.087701268
18088562.696608 0.07612196
18017127.2788814 0.064542652
17946072.3122791 0.055754919
17875394.3954995 0.047803678
17805091.2320073 0.041294643
17735159.4894157 0.036506083
17665596.9224554 0.031717522
17596399.2330172 0.027373645
17527565.2745758 0.024005501
17459089.8134364 0.020637357
17390972.7674763 0.017269212
17323208.9977555 0.015229542
17255797.443384 0.013447343
17188735.0521469 0.011674362
17122017.8354461 0.010297393
17055644.786724 0.0089204237
16989611.9906835 0.0075434546
16923917.5123993 0.0063241084
16858559.4262862 0.0053625481
16793533.9346593 0.0044009877
16728838.2405641 0.0034394274
16664471.4369722 0.0028656313
16600429.8390211 0.0023343184
16536710.7390104 0.0018030055
16473313.2754617 0.0014344323
16410232.973695 0.0011189879
16347469.0149595 0.00080354343
16285018.7909835 0.00048809897
16222878.8498718 0.00017265451
16161048.4137462 0
16099524.0908212 0
16038304.2645576 0
15977385.6214515 0
15916767.4408863 0
15856446.4661423 0
15796421.1617301 0
15736688.3453138 0
15677247.3491555 0
