"wave" "response" 
9250.978 0.003404811
9258.6373 0.0098582781
9266.2966 0.016311745
9273.9559 0.022765212
9281.6152 0.029589726
9289.2745 0.044485871
9296.9339 0.059064739
9304.5932 0.068651691
9312.2525 0.084555408
9319.9118 0.09549552
9327.5711 0.10690472
9335.2305 0.12474402
9342.8898 0.13419008
9350.5491 0.14818842
9358.2084 0.1616929
9365.8677 0.17130319
9373.5271 0.18945711
9381.1864 0.20032903
9388.8457 0.21181381
9396.505 0.227389
9404.1643 0.2368018
9411.8236 0.25214414
9419.483 0.26653746
9427.1423 0.27617917
9434.8016 0.29215408
9442.4609 0.30294147
9450.1202 0.31449754
9457.7796 0.33225728
9465.4389 0.34003211
9473.0982 0.34439119
9480.7575 0.34730876
9488.4168 0.34934866
9496.0762 0.35091311
9503.7355 0.35210343
9511.3948 0.3530638
9519.0541 0.35390113
9526.7134 0.35458774
9534.3727 0.35519729
9542.0321 0.35573498
9549.6914 0.3562046
9557.3507 0.35663025
9565.01 0.3570151
9572.6693 0.35736104
9580.3287 0.35768749
9587.988 0.35795767
9595.6473 0.35822785
9603.3066 0.35845699
9610.9659 0.35867998
9618.6253 0.35889071
9626.2846 0.35908116
9633.9439 0.35927161
9641.6032 0.3594455
9649.2625 0.35961534
9656.9218 0.35978482
9664.5812 0.35995259
9672.2405 0.36012035
9679.8998 0.36029228
9687.5591 0.36046797
9695.2184 0.36064365
9702.8778 0.36082625
9710.5371 0.36100985
9718.1964 0.36119345
9725.8557 0.36137706
9733.515 0.36156066
9741.1743 0.36174426
9748.8337 0.36192786
9756.493 0.36211146
9764.1523 0.362303
9771.8116 0.36249528
9779.4709 0.36269201
9787.1303 0.36290125
9794.7896 0.36311048
9802.4489 0.36331949
9810.1082 0.36352835
9817.7675 0.36373721
9825.4269 0.36394571
9833.0862 0.36415419
9840.7455 0.36436268
9848.4048 0.36457116
9856.0641 0.36477964
9863.7234 0.36497779
9871.3828 0.36517044
9879.0421 0.36536308
9886.7014 0.3655399
9894.3607 0.36571671
9902.02 0.36588802
9909.6794 0.366049
9917.3387 0.36620999
9924.998 0.36637149
9932.6573 0.36653323
9940.3166 0.366695
9947.976 0.36685749
9955.6353 0.36701998
9963.2946 0.36717599
9970.9539 0.3673219
9978.6132 0.3674678
9986.2725 0.36760146
9993.9319 0.36773078
10001.591 0.36785941
10009.251 0.36798081
10016.91 0.36810221
10024.569 0.36822018
10032.228 0.36833366
10039.888 0.36844714
10047.547 0.36856033
10055.206 0.36867344
10062.866 0.36878751
10070.525 0.36890815
10078.184 0.3690288
10085.844 0.36915303
10093.503 0.36928122
10101.162 0.3694094
10108.822 0.3695438
10116.481 0.36967952
10124.14 0.3698137
10131.8 0.36994038
10139.459 0.37006705
10147.118 0.37018903
10154.778 0.37030666
10162.437 0.37042429
10170.096 0.37054911
10177.756 0.37067503
10185.415 0.37080273
10193.074 0.37093694
10200.733 0.37107116
10208.393 0.37121004
10216.052 0.37135255
10223.711 0.37149506
10231.371 0.37164511
10239.03 0.37179591
10246.689 0.37194468
10254.349 0.37208757
10262.008 0.37223046
10269.667 0.37237357
10277.327 0.37251684
10284.986 0.3726601
10292.645 0.37280373
10300.305 0.37294737
10307.964 0.37309112
10315.623 0.37323514
10323.283 0.37337916
10330.942 0.37352879
10338.601 0.37368148
10346.261 0.37383417
10353.92 0.37399548
10361.579 0.37415684
10369.238 0.37431807
10376.898 0.37447906
10384.557 0.37464004
10392.216 0.37480076
10399.876 0.37496137
10407.535 0.37512196
10415.194 0.37528219
10422.854 0.37544242
10430.513 0.3756025
10438.172 0.37576236
10445.832 0.37592221
10453.491 0.37609421
10461.15 0.37627065
10468.81 0.37644709
10476.469 0.37662353
10484.128 0.37679997
10491.788 0.37697641
10499.447 0.37715285
10507.106 0.37732929
10514.766 0.37750572
10522.425 0.37768216
10530.084 0.3778586
10537.743 0.37803504
10545.403 0.37821148
10553.062 0.37838792
10560.721 0.37856436
10568.381 0.3787408
10576.04 0.37890368
10583.699 0.37906353
10591.359 0.37922065
10599.018 0.37936391
10606.677 0.37950718
10614.337 0.37964194
10621.996 0.37976861
10629.655 0.37989529
10637.315 0.3800077
10644.974 0.38011779
10652.633 0.38022083
10660.293 0.38029698
10667.952 0.38037314
10675.611 0.38043506
10683.271 0.38048558
10690.93 0.3805361
10698.589 0.3805713
10706.248 0.38060486
10713.908 0.38063624
10721.567 0.38066112
10729.226 0.38068601
10736.886 0.38071081
10744.545 0.38073557
10752.204 0.38076032
10759.864 0.38078495
10767.523 0.38080957
10775.182 0.38084758
10782.842 0.38090806
10790.501 0.38096854
10798.16 0.38106723
10805.82 0.38117392
10813.479 0.3812967
10821.138 0.38145161
10828.798 0.38160651
10836.457 0.38179817
10844.116 0.38199421
10851.776 0.38221702
10859.435 0.38246592
10867.094 0.38272435
10874.754 0.38302857
10882.413 0.3833328
10890.072 0.38366106
10897.731 0.38399227
10905.391 0.38432884
10913.05 0.38466813
10920.709 0.38499755
10928.369 0.38531662
10936.028 0.3856262
10943.687 0.38591492
10951.347 0.38619438
10959.006 0.38641565
10966.665 0.38663691
10974.325 0.38678216
10981.984 0.38691981
10989.643 0.38701325
10997.303 0.38708051
11004.962 0.38713342
11012.621 0.38715185
11020.281 0.38717028
11027.94 0.38714635
11035.599 0.38711808
11043.259 0.38706892
11050.918 0.38699592
11058.577 0.38692292
11066.236 0.38684337
11073.896 0.38676364
11081.555 0.38668839
11089.214 0.38661914
11096.874 0.38654989
11104.533 0.38649541
11112.192 0.386444
11119.852 0.38639949
11127.511 0.38638214
11135.17 0.3863648
11142.83 0.38637526
11150.489 0.38640844
11158.148 0.38644162
11165.808 0.38652761
11173.467 0.3866196
11181.126 0.38672196
11188.786 0.38685618
11196.445 0.3869904
11204.104 0.38714474
11211.764 0.38731289
11219.423 0.38748103
11227.082 0.3876811
11234.741 0.38788317
11242.401 0.38809502
11250.06 0.38833103
11257.719 0.38856703
11265.379 0.38880806
11273.038 0.38905198
11280.697 0.3892959
11288.357 0.38953129
11296.016 0.38976654
11303.675 0.38999905
11311.335 0.390226
11318.994 0.39045296
11326.653 0.39066867
11334.313 0.39087903
11341.972 0.39108876
11349.631 0.39127425
11357.291 0.39145974
11364.95 0.39163594
11372.609 0.39179654
11380.269 0.39195715
11387.928 0.3921058
11395.587 0.39224982
11403.246 0.39239271
11410.906 0.39252014
11418.565 0.39264757
11426.224 0.3927681
11433.884 0.39287894
11441.543 0.39298978
11449.202 0.39308796
11456.862 0.39318222
11464.521 0.39327559
11472.18 0.39336193
11479.84 0.39344827
11487.499 0.39353478
11495.158 0.39362149
11502.818 0.39370821
11510.477 0.39379462
11518.136 0.39388095
11525.796 0.39396723
11533.455 0.39405319
11541.114 0.39413915
11548.774 0.39422077
11556.433 0.39429805
11564.092 0.39437534
11571.752 0.39444527
11579.411 0.39451389
11587.07 0.3945808
11594.729 0.39464075
11602.389 0.39470069
11610.048 0.39475592
11617.707 0.39480719
11625.367 0.39485847
11633.026 0.39490941
11640.685 0.3949603
11648.345 0.39501111
11656.004 0.39506163
11663.663 0.39511215
11671.323 0.39516245
11678.982 0.3952126
11686.641 0.39526274
11694.301 0.39531253
11701.96 0.3953623
11709.619 0.39541207
11717.279 0.39546184
11724.938 0.3955116
11732.597 0.39556137
11740.257 0.39561114
11747.916 0.3956609
11755.575 0.39571878
11763.234 0.39577684
11770.894 0.39583761
11778.553 0.39590396
11786.212 0.39597032
11793.872 0.3960481
11801.531 0.39613142
11809.19 0.39621509
11816.85 0.39631538
