"wave" "response"
15600 0.0007016307
15700 0.0010669644
15800 0.001527496
15900 0.002092162
16000 0.0027705914
16100 0.0035692204
16200 0.0044970227
16300 0.0160779733
16400 0.0750457735
16500 0.1711591627
16600 0.2971563762
16700 0.6172404461
16800 1.098997302
16900 1.6124096866
17000 2.0378262997
17100 2.2706882406
17200 2.40710358
17300 2.4920731279
17400 2.5087038593
17500 2.5151700419
17600 2.513685412
17700 2.511503925
17800 2.5091181537
17900 2.5099065449
18000 2.5067372064
18100 2.5099844323
18200 2.5162694082
18300 2.5219568487
18400 2.5274879182
18500 2.5324856247
18600 2.5383010042
18700 2.5450198836
18800 2.5510977679
18900 2.5556781828
19000 2.5604334137
19100 2.5665279095
19200 2.5729040406
19300 2.5762568965
19400 2.58491223
19500 2.5567475459
19600 2.4627112844
19700 2.3380160715
19800 2.1111212442
19900 1.7373589908
20000 1.2902387063
20100 0.8449528139
20200 0.4763337223
20300 0.2658080819
20400 0.16640113
20500 0.0831998734
20600 0.0250246031
20700 0.0007237836
