"wave" "response"
20004.66386 1.37474647963039e-10
20020.74478 1.13159409250976e-10
20036.8257 9.77194512180441e-11
20052.90662 9.71372161384163e-11
20068.98754 8.53300622290211e-11
20085.06846 5.68307638353123e-11
20101.14938 4.78555648079154e-11
20117.2303 5.91118831848709e-11
20133.31122 5.35831802661025e-11
20149.39214 3.23172771899091e-11
20165.47306 2.79459818975028e-11
20181.55398 3.59702669960751e-11
20197.6349 3.3067012178854e-11
20213.71582 2.33533364318927e-11
20229.79674 1.92568844639248e-11
20245.87766 1.75277578298258e-11
20261.95858 1.79653623429167e-11
20278.03949 1.98521065797204e-11
20294.12041 7.44646445495557e-12
20310.20133 2.29459600728566e-12
20326.28225 3.33920796534401e-12
20342.36317 1.15569921314521e-11
20358.44409 2.29885600057215e-12
20374.52501 6.07313224022457e-13
20390.60593 9.0605746597505e-13
20406.68685 5.55349217202875e-12
20422.76777 5.91375360360813e-12
20438.84869 2.69008024859083e-12
20454.92961 2.85665206087571e-12
20471.01053 5.00387448083671e-12
20487.09145 7.90082633579698e-12
20503.17237 9.32656905238002e-12
20519.25329 2.08343468284778e-12
20535.33421 6.07760133491362e-13
20551.41513 9.96956846746519e-13
20567.49605 6.15865233428458e-12
20583.57697 1.25511776582044e-12
20599.65788 1.61630903342696e-14
20615.7388 3.71380617180835e-14
20631.81972 3.26477588129783e-12
20647.90064 6.45009332508322e-12
20663.98156 1.47798124942743e-12
20680.06248 1.39711491058439e-12
20696.1434 5.34769526367166e-12
20712.22432 1.84812019117125e-11
20728.30524 1.6595568676468e-11
20744.38616 7.68147252626182e-12
20760.46708 3.33982824437827e-12
20776.548 3.20666581038331e-12
20792.62892 1.01356879203965e-11
20808.70984 2.08512866721153e-11
20824.79076 2.97678666046265e-13
20840.87168 2.18308170204137e-14
20856.9526 1.88075137996995e-12
20873.03352 8.52480886308762e-11
20889.11444 1.22716213018494e-12
20905.19536 1.93599326649086e-14
20921.27627 1.05208257474099e-12
20937.35719 7.62159980609343e-11
20953.43811 5.89248687336833e-11
20969.51903 3.87861362076855e-11
20985.59995 3.5521752922186e-11
21001.68087 4.45306165197752e-11
21017.76179 7.5329581622452e-11
21033.84271 1.99842983457695e-10
21049.92363 8.48741631800708e-11
21066.00455 9.13879174143036e-12
21082.08547 7.51502575119399e-12
21098.16639 8.79983686816795e-11
21114.24731 3.41431474674882e-10
21130.32823 4.98112685188817e-12
21146.40915 2.53224088238454e-13
21162.49007 1.57741408602239e-11
21178.57099 1.05742963697591e-09
21194.65191 2.09065225832949e-10
21210.73283 9.3378898020548e-11
21226.81375 1.21170678709866e-10
21242.89466 2.37420929690969e-10
21258.97558 4.42024387087607e-10
21275.0565 6.05545843359053e-10
21291.13742 9.9673684378761e-11
21307.21834 1.74387606626217e-12
21323.29926 5.15550186356521e-13
21339.38018 3.28663213782478e-11
21355.4611 6.53580889534987e-10
21371.54202 9.29631843215208e-12
21387.62294 1.47940854428773e-13
21403.70386 5.99110854900153e-12
21419.78478 3.80597592235714e-10
21435.8657 1.26934146579543e-10
21451.94662 3.34626841049067e-11
21468.02754 3.51046972155484e-11
21484.10846 1.11464336852081e-10
21500.18938 4.59308091895164e-10
21516.2703 4.24763649696121e-10
21532.35122 3.41821329743746e-10
21548.43214 1.15398642763493e-10
21564.51305 5.23438252971762e-11
21580.59397 1.18407943688471e-10
21596.67489 4.91041718760469e-10
21612.75581 7.23050317216762e-11
21628.83673 1.19867884359352e-12
21644.91765 6.64125795236272e-13
21660.99857 4.13208461780256e-11
21677.07949 8.00580875637483e-10
21693.16041 6.93673626530304e-11
21709.24133 1.64660413023578e-11
21725.32225 4.99819407194936e-11
21741.40317 3.4783629980421e-10
21757.48409 8.211051330643e-10
21773.56501 6.29926614362649e-10
21789.64593 4.39123360937965e-10
21805.72685 3.36494924770953e-10
21821.80777 2.96082232110856e-10
21837.88869 5.0184763966545e-10
21853.96961 1.1929823306691e-09
21870.05053 2.20316292503419e-10
21886.13145 5.50471662403839e-11
21902.21236 6.19609389456054e-11
21918.29328 3.1097344352409e-10
21934.3742 1.56566321145581e-09
21950.45512 2.95113593025801e-10
21966.53604 1.28696886983774e-10
21982.61696 2.55384175118374e-10
21998.69788 9.34166545022711e-10
22014.7788 1.62245990500745e-09
22030.85972 1.07477953992763e-09
22046.94064 8.76324477401897e-10
22063.02156 1.03350152045499e-09
22079.10248 1.2269149561317e-09
22095.1834 1.73268460546411e-09
22111.26432 2.88592000139868e-09
22127.34524 1.33385564900217e-09
22143.42616 4.13205078389026e-10
22159.50708 2.81831722547047e-10
22175.588 1.06879190927865e-09
22191.66892 1.00683991544782e-08
22207.74984 6.21721501122233e-10
22223.83075 1.40482281172159e-11
22239.91167 1.26341211358353e-11
22255.99259 7.3789197135595e-10
22272.07351 2.31592783865355e-08
22288.15443 5.4563653597118e-09
22304.23535 1.92439662255804e-09
22320.31627 2.72011675868437e-09
22336.39719 7.05897902815456e-09
22352.47811 1.78010431211531e-08
22368.55903 2.20150760630195e-08
22384.63995 2.83453868143773e-08
22400.72087 7.58784746112056e-09
22416.80179 2.84350995648706e-09
22432.88271 3.68214072649325e-09
22448.96363 1.54362708239919e-08
22465.04455 6.47460816855141e-08
22481.12547 1.3520234811165e-09
22497.20639 3.11306603868837e-11
22513.28731 1.39047576581771e-10
22529.36823 8.00395567971564e-09
22545.44914 6.78262095054967e-08
22561.53006 1.51220811169879e-09
22577.61098 3.81455101036727e-11
22593.6919 3.51123634599903e-10
22609.77282 1.5746112638717e-08
22625.85374 1.7754989214851e-07
22641.93466 1.66327140652203e-07
22658.01558 1.58840851419612e-07
22674.0965 9.89043399200114e-08
22690.17742 7.68882068566496e-08
22706.25834 8.8184519638504e-08
22722.33926 1.70337694979675e-07
22738.42018 5.55528123864456e-07
22754.5011 5.76366721063297e-08
22770.58202 9.70699696819982e-09
22786.66294 9.3377812160413e-09
22802.74386 6.38043855347687e-08
22818.82478 8.66726627257778e-07
22834.9057 1.44542614038967e-07
22850.98662 5.15909580054959e-08
22867.06753 4.87412232537936e-08
22883.14845 1.33294441237961e-07
22899.22937 7.88779471514378e-07
22915.31029 5.61917875597131e-07
22931.39121 4.4680847414549e-07
22947.47213 4.06136888212337e-07
22963.55305 4.28988839757708e-07
22979.63397 4.6378988469749e-07
22995.71489 7.259924166704e-07
23011.79581 1.26316235800857e-06
23027.87673 7.73478278463241e-07
23043.95765 2.16412431454252e-07
23060.03857 1.29255913837072e-07
23076.11949 2.51107728507454e-07
23092.20041 8.58472265452647e-07
23108.28133 3.88384353770985e-06
23124.36225 1.7740857050449e-06
23140.44317 1.18212854480589e-06
23156.52409 1.84659254106966e-06
23172.60501 4.35375179374727e-06
23188.68592 1.48808154667828e-05
23204.76684 1.29551617830582e-05
23220.84776 1.21576976274013e-05
23236.92868 1.43773303201525e-05
23253.0096 2.01731184138969e-05
23269.09052 2.81290633023078e-05
23285.17144 3.64831074367334e-05
23301.25236 4.69385351247937e-05
23317.33328 5.23135317628172e-05
23333.4142 4.63258293850225e-05
23349.49512 4.4002438957419e-05
23365.57604 5.68652653491853e-05
23381.65696 8.48790566063827e-05
23397.73788 0.000128118292726834
23413.8188 9.30576007485673e-05
23429.89972 8.09839218103817e-05
23445.98064 8.66706985145394e-05
23462.06156 0.000114799437005896
23478.14248 0.000174970729502793
23494.2234 0.000173154480490715
23510.30431 0.000166082376568508
23526.38523 0.000169628479667854
23542.46615 0.000207127439406763
23558.54707 0.000256635220004044
23574.62799 0.000317629689577468
23590.70891 0.000371565264208729
23606.78983 0.000437137039042711
23622.87075 0.00050894289577438
23638.95167 0.000594153013234078
23655.03259 0.000705716665902902
23671.11351 0.000900811180522304
23687.19443 0.00115046525860735
23703.27535 0.00141428211503883
23719.35627 0.00167111393979449
23735.43719 0.00197145013524317
23751.51811 0.00244408684935774
23767.59903 0.00305922651058442
23783.67995 0.00380908857380159
23799.76087 0.00459375142934466
23815.84179 0.00553951191798817
23831.92271 0.0067065040002077
23848.00362 0.00819367888723192
23864.08454 0.0100051308135671
23880.16546 0.0120868164753567
23896.24638 0.0144884894423251
23912.3273 0.0173697796345266
23928.40822 0.0205194971412023
23944.48914 0.0242210254242141
23960.57006 0.0285269959274649
23976.65098 0.0330983324719549
23992.7319 0.0384220791661166
24008.81282 0.0443131920751252
24024.89374 0.0505816914925778
24040.97466 0.0577548264403987
24057.05558 0.0656005261916821
24073.1365 0.0742774018849362
24089.21742 0.0841111367040893
24105.29834 0.0943929578422508
24121.37926 0.105747099927966
24137.46018 0.118373660438887
24153.5411 0.131118090472404
24169.62201 0.145206941776745
24185.70293 0.160068521285615
24201.78385 0.174190019832379
24217.86477 0.189766467464547
24233.94569 0.204889358798738
24250.02661 0.218979676611175
24266.10753 0.234242884404545
24282.18845 0.248100671092836
24298.26937 0.261478338422646
24314.35029 0.276146074289009
24330.43121 0.288759401287013
24346.51213 0.301643139067528
24362.59305 0.315812569423116
24378.67397 0.326892412064882
24394.75489 0.338647166870457
24410.83581 0.3509224185421
24426.91673 0.359398499742635
24442.99765 0.368335671044878
24459.07857 0.37673859815342
24475.15949 0.381796009201866
24491.2404 0.386985229650532
24507.32132 0.391183064589144
24523.40224 0.393560315379487
24539.48316 0.395970066063852
24555.56408 0.397777220823305
24571.645 0.398885765632812
24587.72592 0.400006227256473
24603.80684 0.400866140859696
24619.88776 0.401478185062852
24635.96868 0.402090541135828
24652.0496 0.402638836948981
24668.13052 0.403150530470329
24684.21144 0.403699214120559
24700.29236 0.404231450947318
24716.37328 0.40484509676951
24732.4542 0.405564396607933
24748.53512 0.406453037282304
24764.61604 0.406935749614899
24780.69696 0.407403602433553
24796.77788 0.407927074463187
24812.85879 0.408166874889957
24828.93971 0.408296840019789
24845.02063 0.408664469028248
24861.10155 0.409017406140554
24877.18247 0.409411197658073
24893.26339 0.409649407979673
24909.34431 0.409950034573515
24925.42523 0.410213141825973
24941.50615 0.410403722714644
24957.58707 0.410583409214636
24973.66799 0.410754227583348
24989.74891 0.410805455804683
24997.78162 0.402876683368232
25011.29393 0.402888358595694
25024.80624 0.402807735653804
25038.31856 0.402721856250557
25051.83087 0.402612740993363
25065.34319 0.402453685508849
25078.8555 0.402263895901565
25092.36782 0.402033954531363
25105.88013 0.401807439515095
25119.39244 0.401573339760056
25132.90476 0.401341557596802
25146.41707 0.401098278203806
25159.92939 0.400877581594589
25173.4417 0.400685654818672
25186.95402 0.400510450042723
25200.46633 0.400358930636958
25213.97865 0.400275004619401
25227.49096 0.400200114877594
25241.00327 0.400151643093649
25254.51559 0.400210843253741
25268.0279 0.400243540591788
25281.54022 0.400357479688612
25295.05253 0.400485100607342
25308.56485 0.400644137550549
25322.07716 0.400803397030041
25335.58948 0.401100710895351
25349.10179 0.401390103246054
25362.6141 0.401502130486984
25376.12642 0.401887804605491
25389.63873 0.402105231520291
25403.15105 0.40228366872101
25416.66336 0.402288582820005
