"wave" "response"
20004.66386 4.01227181165925e-15
20020.74478 4.93215637829294e-16
20036.8257 1.84278140513563e-16
20052.90662 6.50783339479611e-16
20068.98754 3.80176226653449e-15
20085.06846 3.96026879881199e-15
20101.14938 4.98341953750901e-15
20117.2303 9.1223349411196e-15
20133.31122 1.55244275061902e-14
20149.39214 2.29657058898313e-14
20165.47306 3.03564203906128e-14
20181.55398 3.55703201677632e-14
20197.6349 3.92400782247829e-14
20213.71582 4.15965064012519e-14
20229.79674 4.15473790478529e-14
20245.87766 3.8915849196034e-14
20261.95858 3.80249688006211e-14
20278.03949 3.80002305440249e-14
20294.12041 3.66205022297825e-14
20310.20133 3.45667795041531e-14
20326.28225 3.34133111994289e-14
20342.36317 3.23579314705976e-14
20358.44409 3.09409749626581e-14
20374.52501 2.92976525416829e-14
20390.60593 2.51900060385322e-14
20406.68685 2.09531964156076e-14
20422.76777 1.5575491239814e-14
20438.84869 1.10926482430557e-14
20454.92961 5.92494174904189e-15
20471.01053 2.83039672419001e-15
20487.09145 2.22001770353877e-15
20503.17237 2.23064012965455e-15
20519.25329 7.89005893136642e-16
20535.33421 3.31090251054932e-16
20551.41513 3.9663256806569e-16
20567.49605 9.31238164390007e-16
20583.57697 8.12518347201507e-16
20599.65788 4.81870080417448e-16
20615.7388 2.65433382724253e-16
20631.81972 1.50114397903379e-16
20647.90064 2.41882888285302e-16
20663.98156 7.66391490903804e-16
20680.06248 2.41872549403856e-16
20696.1434 7.87060127238226e-18
20712.22432 9.16593216911796e-18
20728.30524 3.78071672462452e-16
20744.38616 1.08761147028028e-15
20760.46708 2.5747433977267e-16
20776.548 2.13598063936696e-16
20792.62892 9.05465160830597e-16
20808.70984 3.23480327704977e-15
20824.79076 2.08390606001927e-15
20840.87168 1.84390869809724e-15
20856.9526 2.29848854746716e-15
20873.03352 3.65954488435941e-15
20889.11444 5.35806028217108e-15
20905.19536 6.56373029341786e-15
20921.27627 1.18272724025672e-15
20937.35719 5.62970084214552e-16
20953.43811 1.74107159276982e-15
20969.51903 1.19155671347935e-14
20985.59995 3.88536102159223e-15
21001.68087 2.14627557362652e-15
21017.76179 3.63011908723306e-15
21033.84271 1.7147538869012e-14
21049.92363 2.40562188833254e-14
21066.00455 1.58334109732166e-14
21082.08547 1.68713055285695e-14
21098.16639 2.57318883353114e-14
21114.24731 3.37402674644402e-14
21130.32823 3.12355726145381e-14
21146.40915 1.49352424956642e-14
21162.49007 2.99834633154462e-15
21178.57099 1.85394203081075e-15
21194.65191 8.50915377078626e-15
21210.73283 8.85169495241523e-14
21226.81375 2.60260160517126e-15
21242.89466 7.4741115722349e-17
21258.97558 7.30993317089349e-16
21275.0565 2.20648356581904e-14
21291.13742 1.83219590352002e-14
21307.21834 9.39944953989913e-15
21323.29926 1.00591148773908e-14
21339.38018 2.05013657372988e-14
21355.4611 5.04556996401762e-14
21371.54202 4.16758456821304e-14
21387.62294 3.12937011960071e-14
21403.70386 1.44969512013517e-14
21419.78478 1.03800845905752e-14
21435.8657 1.53508308755092e-14
21451.94662 3.17424330325305e-14
21468.02754 1.01093578287051e-14
21484.10846 3.1509366997958e-15
21500.18938 3.07958249870468e-15
21516.2703 9.92858235266063e-15
21532.35122 1.51658787212402e-14
21548.43214 5.19701212490872e-16
21564.51305 3.97729226554019e-17
21580.59397 1.04059013686597e-15
21596.67489 2.95578901852552e-14
21612.75581 2.19417835938307e-14
21628.83673 1.36840000291062e-14
21644.91765 6.52800233063172e-15
21660.99857 4.29784911813591e-15
21677.07949 7.91986790115319e-15
21693.16041 1.14848711264685e-14
21709.24133 1.42939048114652e-14
21725.32225 7.76310704700941e-16
21741.40317 4.35354188843838e-17
21757.48409 7.28906562773786e-16
21773.56501 2.34643352028549e-14
