"wave" "response"
20004.66386 8.06720700492297e-15
20020.74478 1.45659994872284e-13
20036.8257 1.39231808097068e-12
20052.90662 1.47224695903991e-12
20068.98754 1.80859173310392e-12
20085.06846 1.80453215949965e-12
20101.14938 1.3659835763073e-12
20117.2303 6.97574775049932e-13
20133.31122 2.48040956985073e-13
20149.39214 1.03021635578711e-13
20165.47306 8.81960810002694e-14
20181.55398 2.24402848368447e-13
20197.6349 4.43693903329454e-13
20213.71582 3.21324018924188e-13
20229.79674 3.11532846263677e-13
20245.87766 4.51985231254496e-13
20261.95858 1.26577340178826e-13
20278.03949 1.88893864530613e-14
20294.12041 3.29714798407051e-14
20310.20133 2.44187198770019e-13
20326.28225 4.34576733892972e-13
20342.36317 4.54379975656736e-13
20358.44409 5.70310077073401e-13
20374.52501 7.36693604906147e-13
20390.60593 8.7300331305925e-13
20406.68685 1.05662827181535e-12
20422.76777 5.4541426643243e-13
20438.84869 3.44525988803187e-13
20454.92961 3.88055725760856e-13
20471.01053 6.19025145039831e-13
20487.09145 6.11369962406168e-13
20503.17237 5.52667386594928e-13
20519.25329 6.4228240083884e-13
20535.33421 9.53151669910548e-13
20551.41513 8.56633505940915e-13
20567.49605 1.01407028680278e-12
20583.57697 1.38707516359249e-12
20599.65788 1.53439919663131e-12
20615.7388 1.50692221641453e-12
20631.81972 1.49679481169055e-12
20647.90064 1.17470881353431e-12
20663.98156 7.8212023194123e-13
20680.06248 5.87690273672831e-13
20696.1434 7.84463914275461e-13
20712.22432 1.57244909424641e-12
20728.30524 1.42002787327588e-12
20744.38616 1.60933052232082e-12
20760.46708 2.41133186778093e-12
20776.548 2.89654471317154e-12
20792.62892 1.59924843589931e-12
20808.70984 1.35308519648309e-12
20824.79076 2.14339536724591e-12
20840.87168 3.64519127275041e-12
20856.9526 4.73145225868726e-12
20873.03352 8.91482191706475e-12
20889.11444 9.97073450173286e-12
20905.19536 1.23205681666422e-11
20921.27627 1.53874760558333e-11
20937.35719 2.12080956658247e-11
20953.43811 1.66237865220626e-11
20969.51903 1.49010248877594e-11
20985.59995 2.05698132446367e-11
21001.68087 3.62325775877864e-11
21017.76179 3.40159401788012e-11
21033.84271 2.90777705490801e-11
21049.92363 2.03581212325911e-11
21066.00455 1.95438139019824e-11
21082.08547 2.93069936634208e-11
21098.16639 2.36285692327445e-11
21114.24731 1.39649297904314e-11
21130.32823 1.28690979332129e-11
21146.40915 5.26759513458117e-11
21162.49007 6.51995594963776e-11
21178.57099 1.06633156589939e-10
21194.65191 2.86023104481033e-11
21210.73283 2.61574896262708e-11
21226.81375 4.72734594501025e-11
21242.89466 8.80908847182757e-11
21258.97558 8.26366676574476e-11
21275.0565 5.97987720706945e-11
21291.13742 4.71535206613045e-11
21307.21834 4.62157064726159e-11
21323.29926 5.77516545782414e-11
21339.38018 3.76415780945526e-11
21355.4611 3.31980576238396e-11
21371.54202 3.43515519730266e-11
21387.62294 5.2712479207764e-11
21403.70386 6.10997525777515e-11
21419.78478 7.38849602477392e-11
21435.8657 6.31065349341008e-11
21451.94662 5.04377150543655e-11
21468.02754 4.41447554681789e-11
21484.10846 4.47659911407102e-11
21500.18938 5.11781818200289e-11
21516.2703 4.39619531532355e-11
21532.35122 4.79372358534188e-11
21548.43214 5.37898736820931e-11
21564.51305 7.61075497111884e-11
21580.59397 5.71057601139601e-11
21596.67489 4.95169842386856e-11
21612.75581 5.14059196183016e-11
21628.83673 6.30168748236976e-11
21644.91765 7.67980769027938e-11
21660.99857 6.95120810617845e-11
21677.07949 7.28590203269371e-11
21693.16041 5.66568207546679e-11
21709.24133 4.87788843855795e-11
21725.32225 5.69600357247539e-11
21741.40317 8.20701746015564e-11
21757.48409 6.23919679113057e-11
21773.56501 3.63894199620124e-11
21789.64593 2.85391281729579e-11
21805.72685 4.89574906374226e-11
21821.80777 1.16710250716008e-10
21837.88869 9.21281511049839e-11
21853.96961 8.41768668318943e-11
21870.05053 9.52086852227269e-11
21886.13145 1.18125300117484e-10
21902.21236 1.15166681214414e-10
21918.29328 9.80445042624672e-11
21934.3742 1.11637935495781e-10
21950.45512 9.37288535530995e-11
21966.53604 8.76329216807475e-11
21982.61696 6.97607950477241e-11
21998.69788 6.84370563587406e-11
22014.7788 5.40441260062018e-11
22030.85972 4.19695424692721e-11
22046.94064 3.86173075378322e-11
22063.02156 5.75188424207234e-11
22079.10248 2.11108076803906e-10
22095.1834 1.42679428146378e-10
22111.26432 1.25256286175669e-10
22127.34524 1.35723224447488e-10
22143.42616 2.296500490094e-10
22159.50708 8.13804673579156e-10
22175.588 8.3528255618499e-10
22191.66892 1.05463720665084e-09
22207.74984 9.61716136573356e-10
22223.83075 9.53523846520258e-10
22239.91167 1.11502303844855e-09
22255.99259 1.41585033421814e-09
22272.07351 2.30641636600643e-09
22288.15443 2.08048626232898e-09
22304.23535 1.84406461586227e-09
22320.31627 2.2223842852399e-09
22336.39719 3.30208443338876e-09
22352.47811 5.11200661175302e-09
22368.55903 5.72532039774814e-09
22384.63995 6.6038181065006e-09
22400.72087 1.01503223817558e-08
22416.80179 1.62854110958123e-08
22432.88271 2.34561621262244e-08
22448.96363 3.05234968724131e-08
22465.04455 4.01629959933074e-08
22481.12547 5.42124767075519e-08
22497.20639 7.35578301654133e-08
22513.28731 9.92769108998049e-08
22529.36823 1.33461312687222e-07
22545.44914 1.77193330223249e-07
22561.53006 2.24881898672893e-07
22577.61098 2.84434727524964e-07
22593.6919 3.47567426782363e-07
