"wave" "response"
1340 0
1341 0.01154
1342 0.02308
1343 0.03462
1344 0.04616
1345 0.0577
1346 0.06924
1347 0.08078
1348 0.09232
1349 0.10386
1350 0.1154
1351 0.11846
1352 0.12151
1353 0.12457
1354 0.12762
1355 0.13068
1356 0.13374
1357 0.13679
1358 0.13985
1359 0.1429
1360 0.14596
1361 0.14902
1362 0.15207
1363 0.15513
1364 0.15818
1365 0.16124
1366 0.1643
1367 0.16735
1368 0.17041
1369 0.17346
1370 0.17652
1371 0.17664
1372 0.17676
1373 0.17689
1374 0.17701
1375 0.17713
1376 0.17725
1377 0.17737
1378 0.1775
1379 0.17762
1380 0.17774
1381 0.17493
1382 0.17212
1383 0.1693
1384 0.16649
1385 0.16368
1386 0.16087
1387 0.15806
1388 0.15524
1389 0.15243
1390 0.14962
1391 0.14681
1392 0.144
1393 0.14118
1394 0.13837
1395 0.13556
1396 0.13275
1397 0.12994
1398 0.12712
1399 0.12431
1400 0.1215
1401 0.12674
1402 0.13199
1403 0.13723
1404 0.14248
1405 0.14772
1406 0.15296
1407 0.15821
1408 0.16345
1409 0.1687
1410 0.17394
1411 0.17918
1412 0.18443
1413 0.18967
1414 0.19492
1415 0.20016
1416 0.2054
1417 0.21065
1418 0.21589
1419 0.22114
1420 0.22638
1421 0.23078
1422 0.23519
1423 0.23959
1424 0.244
1425 0.2484
1426 0.2528
1427 0.25721
1428 0.26161
1429 0.26602
1430 0.27042
1431 0.27398
1432 0.27755
1433 0.28111
1434 0.28468
1435 0.28824
1436 0.2918
1437 0.29537
1438 0.29893
1439 0.3025
1440 0.30606
1441 0.30994
1442 0.31319
1443 0.31675
1444 0.32032
1445 0.32388
1446 0.32744
1447 0.33101
1448 0.33457
1449 0.33814
1450 0.3417
1451 0.34294
1452 0.34419
1453 0.34543
1454 0.34668
1455 0.34792
1456 0.34916
1457 0.35041
1458 0.35165
1459 0.3529
1460 0.35414
1461 0.35538
1462 0.35663
1463 0.35787
1464 0.35912
1465 0.36036
1466 0.3616
1467 0.36285
