"wave" "response"
12700 0.0008039282
12800 0.0012198569
12900 0.001747079
13000 0.0023973975
13100 0.0031813941
13200 0.004111324
13300 0.005198199
13400 0.0372463281
13500 0.1460995847
13600 0.3021515161
13700 0.7174890506
13800 1.3673846031
13900 1.9907798138
14000 2.372184984
14100 2.5322214193
14200 2.6203371976
14300 2.6307101512
14400 2.6367093933
14500 2.6387216516
14600 2.6437345984
14700 2.6485393109
14800 2.6531959903
14900 2.6576518219
15000 2.6646739597
15100 2.6714618623
15200 2.6790128279
15300 2.6838864201
15400 2.6913153707
15500 2.6960555158
15600 2.6977960744
15700 2.6984260211
15800 2.6993288414
15900 2.7007264378
16000 2.7032287588
16100 2.7073405204
16200 2.7109924452
16300 2.7185429545
16400 2.7219795773
16500 2.7284090416
16600 2.7390268883
16700 2.7523446918
16800 2.7624499547
16900 2.775390904
17000 2.7854003262
17100 2.7958119703
17200 2.8088498319
17300 2.7781022291
17400 2.6704184342
17500 2.5152937296
17600 2.1674005349
17700 1.6561190065
17800 1.0937386652
17900 0.6009452867
18000 0.3057826671
18100 0.1800683537
18200 0.0786100591
18300 0.0149972758
18400 0.0005210507
