"wave" "response" 
15101.218 0
15105 0.0068837636
15115.411 0.025835373
15125.822 0.048560563
15136.232 0.062264629
15146.643 0.084790409
15157.054 0.098689117
15167.465 0.11880806
15177.876 0.13299563
15188.287 0.15499053
15198.697 0.16956318
15209.108 0.19116537
15219.519 0.20613534
15229.93 0.22511569
15240.341 0.24078796
15250.752 0.26128507
15261.162 0.27758048
15271.573 0.29744686
15281.984 0.31363992
15292.395 0.33133076
15302.806 0.34896642
15313.216 0.36746194
15323.627 0.38575867
15334.038 0.40357959
15344.449 0.42114314
15354.86 0.43747099
15365.271 0.45714264
15375.681 0.47361777
15386.092 0.49394268
15396.503 0.50879822
15406.914 0.51455838
15417.325 0.5176859
15427.735 0.51969476
15438.146 0.52102546
15448.557 0.52192973
15458.968 0.52259063
15469.379 0.52310538
15479.79 0.52351873
15490.2 0.5238236
15500.611 0.52404865
15511.022 0.52423489
15521.433 0.52433681
15531.844 0.52442109
15542.255 0.52445816
15552.665 0.52447414
15563.076 0.52446305
15573.487 0.52443317
15583.898 0.52438762
15594.309 0.52432851
15604.719 0.52426086
15615.13 0.52418575
15625.541 0.52410683
15635.952 0.5240199
15646.363 0.5239297
15656.774 0.52383094
15667.184 0.52372947
15677.595 0.52361888
15688.006 0.52350613
15698.417 0.52340305
15708.828 0.52330158
15719.238 0.52321032
15729.649 0.52312012
15740.06 0.52304068
15750.471 0.52296179
15760.882 0.52289415
15771.293 0.52282708
15781.703 0.52277071
15792.114 0.52271547
15802.525 0.52267037
15812.936 0.52262695
15823.347 0.52259313
15833.758 0.52255931
15844.168 0.52252548
15854.579 0.52249166
15864.99 0.52245784
15875.401 0.52242401
15885.812 0.52239019
15896.222 0.52235249
15906.633 0.52230739
15917.044 0.52225787
15927.455 0.52220149
15937.866 0.52214014
15948.277 0.5220725
15958.687 0.52199932
15969.098 0.5219204
15979.509 0.52183541
15989.92 0.52174521
16000.331 0.52164146
16010.741 0.5215282
16021.152 0.52140027
16031.563 0.52126395
16041.974 0.52112727
16052.385 0.52099044
16062.796 0.52085323
16073.206 0.52071588
16083.617 0.52057813
16094.028 0.52044027
16104.439 0.52030199
16114.85 0.52016362
16125.261 0.52002479
16135.671 0.51988591
16146.082 0.51974655
16156.493 0.51960715
16166.904 0.51946725
16177.315 0.51932733
16187.725 0.51918691
16198.136 0.51904821
16208.547 0.51893085
16218.958 0.51881641
16229.369 0.51872262
16239.78 0.5186329
16250.19 0.51856269
16260.601 0.51849769
16271.012 0.51845106
16281.423 0.51841078
16291.834 0.51838772
16302.244 0.51837216
16312.655 0.51837268
16323.066 0.51838184
16333.477 0.51840593
16343.888 0.51843982
16354.299 0.51848747
16364.709 0.51854608
16375.12 0.51861731
16385.531 0.51870064
16395.942 0.51879545
16406.353 0.51889687
16416.764 0.51900346
16427.174 0.51911662
16437.585 0.51923398
16447.996 0.51934356
16458.407 0.51944913
16468.818 0.51954636
16479.228 0.51964014
16489.639 0.519725
16500.05 0.519807
16510.461 0.51987951
16520.872 0.51994971
16531.283 0.52000986
16541.693 0.52006828
16552.104 0.52011607
16562.515 0.52016271
16572.926 0.52020885
16583.337 0.52025497
16593.747 0.52030058
16604.158 0.52034617
16614.569 0.52039127
16624.98 0.52043636
16635.391 0.52048146
16645.802 0.5205282
16656.212 0.52058457
16666.623 0.52064313
16677.034 0.52071077
16687.445 0.52078115
16697.856 0.52086007
16708.267 0.52094228
16718.677 0.52103247
16729.088 0.5211265
16739.499 0.52122796
16749.91 0.52133381
16760.321 0.52144655
16770.731 0.52155436
16781.142 0.52165583
16791.553 0.52175182
16801.964 0.52184201
16812.375 0.52192618
16822.786 0.5220051
16833.196 0.52207087
16843.607 0.52212724
16854.018 0.52216937
16864.429 0.52220319
16874.84 0.52222167
16885.251 0.52223295
16895.661 0.52222778
16906.072 0.52221651
16916.483 0.52218769
16926.894 0.52215387
16937.305 0.52210141
16947.715 0.52204504
16958.126 0.52196893
16968.537 0.52189001
16978.948 0.52180067
16989.359 0.52171047
16999.77 0.52160931
17010.18 0.52150759
17020.591 0.52139485
17031.002 0.52128289
17041.413 0.52118142
17051.824 0.52107995
17062.234 0.52097847
17072.645 0.520877
17083.056 0.52077553
17093.467 0.52067406
17103.878 0.52057258
17114.289 0.52047111
17124.699 0.52036964
17135.11 0.52026817
17145.521 0.5201667
17155.932 0.52006522
17166.343 0.51996375
17176.754 0.51986228
17187.164 0.51976081
17197.575 0.51965934
17207.986 0.51955786
17218.397 0.51945639
17228.808 0.51935492
17239.218 0.51924716
17249.629 0.51913442
17260.04 0.51902167
17270.451 0.51890892
17280.862 0.51879617
17291.273 0.51868343
17301.683 0.51857068
17312.094 0.51845793
17322.505 0.51834519
17332.916 0.51823244
17343.327 0.51811969
17353.737 0.51800695
17364.148 0.5178942
17374.559 0.51778145
17384.97 0.5176687
17395.381 0.51755596
17405.792 0.51744321
17416.202 0.51733046
17426.613 0.51721772
17437.024 0.51710497
17447.435 0.51699222
17457.846 0.51688053
17468.257 0.51677905
17478.667 0.51667758
17489.078 0.51657611
17499.489 0.51647464
17509.9 0.51637317
17520.311 0.51627169
17530.721 0.51617022
17541.132 0.51606875
17551.543 0.51596728
17561.954 0.51586581
17572.365 0.51576433
17582.776 0.51566286
17593.186 0.51556139
17603.597 0.51545992
17614.008 0.51535844
17624.419 0.51525697
17634.83 0.5151555
17645.24 0.51505403
17655.651 0.51495256
17666.062 0.51484454
17676.473 0.51473179
17686.884 0.51462614
17697.295 0.51452467
17707.705 0.51443084
17718.116 0.51434064
17728.527 0.51425864
17738.938 0.51417972
