"wave" "response"
5010 0
8070 0
8080 0.01
8090 0
8560 0
8570 0.02
8580 0.03
8590 0.07
8600 0.02
8610 0
13990 0
14000 0.01
14010 0
14040 0
14050 0.02
14060 0.02
14070 0
14080 0
14090 0.01
14100 0
14110 0.03
14120 0
14130 0
14140 0.01
14150 0.05
14160 0
14180 0
14190 0.01
14200 0.02
14210 0.03
14220 0.08
14230 0
14240 0.04
14250 0.11
14260 0.09
14270 0.07
14280 0
14290 0.03
14300 0.05
14310 0.08
14320 0.04
14330 0.12
14340 0.08
14350 0.09
14360 0.11
14370 0.13
14380 0.12
14390 0.19
14400 0.19
14410 0.18
14420 0.17
14430 0.14
14440 0.2
14450 0.23
14460 0.2
14470 0.3
14480 0.3
14490 0.18
14500 0.29
14510 0.28
14520 0.34
14530 0.35
14540 0.3
14550 0.45
14560 0.49
14570 0.54
14580 0.55
14590 0.69
14600 0.65
14610 0.71
14620 0.74
14630 0.64
14640 0.82
14650 0.84
14660 0.96
14670 0.95
14680 1.21
14690 1.28
14700 1.3
14710 1.29
14720 1.55
14730 1.78
14740 2.18
14750 2.53
14760 2.48
14770 2.79
14780 2.94
14790 3.71
14800 3.74
14810 4.35
14820 4.77
14830 6.11
14840 6.66
14850 7.55
14860 8.26
14870 9.02
14880 10.54
14890 12.43
14900 13.82
14910 15.6
14920 17.44
14930 19.97
14940 22.47
14950 24.43
14960 27.06
14970 30.56
14980 33.83
14990 37.38
15000 40.83
15010 44.84
15020 47.66
15030 50.59
15040 53.11
15050 57.28
15060 61.06
15070 64.18
15080 65.97
15090 66.6
15100 70.62
15110 72.09
15120 72.92
15130 73.89
15140 74.55
15150 74.81
15160 75.08
15170 75.18
15180 74.78
15190 74.46
15200 74.78
15210 73.98
15220 73.44
15230 73.54
15240 72.69
15250 72.02
15260 72.14
15270 71.38
15280 71.07
15290 71.25
15300 70.65
15310 70.38
15320 70.89
15330 70.38
15340 70.16
15350 70.61
15360 70.34
15370 70.78
15380 71.55
15390 71.11
15400 71.64
15410 72.25
15420 72.21
15430 73.13
15440 73.58
15450 73.66
15460 74.66
15470 74.92
15480 75.09
15490 76.15
15500 76.21
15510 76.45
15520 77.35
15530 77.24
15540 77.71
15550 78.42
15560 78.14
15570 78.66
15580 79.15
15590 78.69
15600 79.46
15610 79.7
15620 79.21
15630 79.86
15640 79.64
15650 79.55
15660 80.14
15670 79.62
15680 79.53
15690 79.33
15700 77.68
