"wave" "response"
30810.6 0.0004900000
30828.9 0.0005860000
30847.3 0.0004530000
30865.6 0.0004580000
30884.0 0.0004390000
30902.4 0.0005310000
30920.8 0.0006410000
30939.3 0.0004420000
30957.8 0.0005350000
30976.2 0.0006550000
30994.8 0.0005250000
31013.3 0.0006310000
31031.9 0.0006180000
31050.4 0.0004960000
31069.0 0.0007000000
31087.7 0.0008950000
31106.3 0.0008730000
31125.0 0.0010450000
31143.7 0.0012940000
31162.4 0.0013900000
31181.1 0.0016830000
31199.9 0.0021320000
31218.7 0.0024130000
31237.5 0.0027820000
31256.3 0.0033430000
31275.2 0.0038460000
31294.0 0.0045960000
31312.9 0.0057600000
31331.9 0.0068890000
31350.8 0.0083130000
31369.8 0.0101700000
31388.8 0.0121800000
31407.8 0.0148200000
31426.8 0.0181600000
31445.9 0.0218100000
31464.9 0.0264600000
31484.1 0.0319700000
31503.2 0.0385700000
31522.3 0.0465000000
31541.5 0.0552200000
31560.7 0.0653300000
31579.9 0.0774000000
31599.2 0.0914700000
31618.4 0.1061000000
31637.7 0.1220000000
31657.0 0.1406000000
31676.4 0.1589000000
31695.7 0.1788000000
31715.1 0.2002000000
31734.5 0.2205000000
31754.0 0.2412000000
31773.4 0.2618000000
31792.9 0.2822000000
31812.4 0.2986000000
31831.9 0.3140000000
31851.5 0.3304000000
31871.1 0.3431000000
31890.7 0.3529000000
31910.3 0.3606000000
31929.9 0.3685000000
31949.6 0.3723000000
31969.3 0.3737000000
31989.0 0.3750000000
32008.8 0.3744000000
32028.6 0.3718000000
32048.4 0.3703000000
32068.2 0.3686000000
32088.0 0.3653000000
32107.9 0.3619000000
32127.8 0.3580000000
32147.7 0.3541000000
32167.6 0.3513000000
32187.6 0.3495000000
32207.6 0.3484000000
32227.6 0.3452000000
32247.7 0.3437000000
32267.7 0.3446000000
32287.8 0.3436000000
32307.9 0.3436000000
32328.1 0.3443000000
32348.2 0.3448000000
32368.4 0.3474000000
32388.7 0.3496000000
32408.9 0.3512000000
32429.2 0.3541000000
32449.5 0.3578000000
32469.8 0.3623000000
32490.1 0.3661000000
32510.5 0.3698000000
32530.9 0.3748000000
32551.3 0.3795000000
32571.8 0.3841000000
32592.2 0.3895000000
32612.7 0.3936000000
32633.2 0.3974000000
32653.8 0.4007000000
32674.4 0.4034000000
32695.0 0.4065000000
32715.6 0.4104000000
32736.3 0.4125000000
32756.9 0.4137000000
32777.6 0.4158000000
32798.4 0.4158000000
32819.1 0.4163000000
32839.9 0.4165000000
32860.7 0.4153000000
32881.6 0.4145000000
32902.4 0.4143000000
32923.3 0.4145000000
32944.2 0.4134000000
32965.2 0.4125000000
32986.2 0.4117000000
33007.1 0.4091000000
33028.2 0.4086000000
33049.2 0.4091000000
33070.3 0.4069000000
33091.4 0.4060000000
33112.5 0.4056000000
33133.7 0.4050000000
33154.9 0.4055000000
33176.1 0.4044000000
33197.3 0.4024000000
33218.6 0.4027000000
33239.9 0.4036000000
33261.2 0.4042000000
33282.6 0.4047000000
33303.9 0.4043000000
33325.3 0.4047000000
33346.8 0.4066000000
33368.2 0.4068000000
33389.7 0.4066000000
33411.2 0.4070000000
33432.8 0.4067000000
33454.3 0.4065000000
33475.9 0.4067000000
33497.6 0.4072000000
33519.2 0.4070000000
33540.9 0.4066000000
33562.6 0.4063000000
33584.3 0.4051000000
33606.1 0.4051000000
33627.9 0.4049000000
33649.7 0.4039000000
33671.6 0.4048000000
33693.5 0.4041000000
33715.4 0.4016000000
33737.3 0.4033000000
33759.3 0.4056000000
33781.3 0.4056000000
33803.3 0.4063000000
33825.3 0.4071000000
33847.4 0.4080000000
33869.5 0.4109000000
33891.7 0.4135000000
33913.8 0.4160000000
33936.0 0.4187000000
33958.2 0.4208000000
33980.5 0.4245000000
34002.8 0.4273000000
34025.1 0.4291000000
34047.4 0.4321000000
34069.8 0.4333000000
