"wave" "response"
10300 0.0007980239
10400 0.0012125642
10500 0.0017410018
10600 0.002395312
10700 0.0031877185
10800 0.0041321673
10900 0.0052404829
11000 0.0587371593
11100 0.2092927428
11200 0.5285889044
11300 1.2839610314
11400 2.061719417
11500 2.4622082912
11600 2.6279465386
11700 2.6530136408
11800 2.6461995251
11900 2.6419618077
12000 2.6379121571
12100 2.6332252508
12200 2.6292971069
12300 2.6227848152
12400 2.618501405
12500 2.6171849487
12600 2.6160714097
12700 2.6185278676
12800 2.6173146051
12900 2.6188197472
13000 2.6178792394
13100 2.6164321603
13200 2.6153409493
13300 2.6141990847
13400 2.613087799
13500 2.6149222877
13600 2.616214732
13700 2.6145742262
13800 2.6169251848
13900 2.61945238
14000 2.6190964917
14100 2.6202351638
14200 2.5666460742
14300 2.4313042573
14400 2.1622357962
14500 1.6264322557
14600 0.9888029409
14700 0.4569131598
14800 0.228327598
14900 0.097501023
15000 0.0157078965
15100 0.0005030841
