"wave" "response" 
11619.522 0
11628 0.00927881
11636.13 0.018177624
11644.261 0.031567025
11652.391 0.055594152
11660.521 0.065643627
11668.651 0.088845042
11676.782 0.10044571
11684.912 0.11352622
11693.042 0.13781723
11701.172 0.14782613
11709.303 0.17312385
11717.433 0.18493492
11725.563 0.19770334
11733.693 0.22225272
11741.824 0.2322468
11749.954 0.25518237
11758.084 0.26720234
11766.214 0.27966293
11774.345 0.30447563
11782.475 0.31448169
11790.605 0.3394758
11798.735 0.35169659
11806.866 0.36386478
11814.996 0.38890778
11823.126 0.39890934
11831.257 0.42364348
11839.387 0.43619455
11847.517 0.44816333
11855.647 0.47112597
11863.778 0.48113009
11871.908 0.50561386
11880.038 0.51846018
11888.168 0.52631052
11896.299 0.53061629
11904.429 0.53317828
11912.559 0.53495929
11920.689 0.53624333
11928.82 0.53722397
11936.95 0.5380251
11945.08 0.53865281
11953.21 0.5392019
11961.341 0.5396982
11969.471 0.54012336
11977.601 0.54053061
11985.731 0.54089669
11993.862 0.54125401
12001.992 0.54157656
12010.122 0.54188425
12018.253 0.54218199
12026.383 0.54246765
12034.513 0.5427524
12042.643 0.54302923
12050.774 0.54330605
12058.904 0.54358539
12067.034 0.54386592
12075.164 0.54414776
12083.295 0.54443468
12091.425 0.54472161
12099.555 0.54500825
12107.685 0.54529478
12115.816 0.5455794
12123.946 0.54585672
12132.076 0.54613405
12140.206 0.54639238
12148.337 0.5466429
12156.467 0.5468878
12164.597 0.54711151
12172.727 0.54733521
12180.858 0.5475211
12188.988 0.54769159
12197.118 0.54785267
12205.248 0.54797873
12213.379 0.54810479
12221.509 0.54818607
12229.639 0.5482493
12237.77 0.54829712
12245.9 0.54828831
12254.03 0.54827951
12262.16 0.54821916
12270.291 0.54813832
12278.421 0.54804394
12286.551 0.54790066
12294.681 0.54775737
12302.812 0.54757586
12310.942 0.54737934
12319.072 0.547175
12327.202 0.54694286
12335.333 0.54671072
12343.463 0.54646588
12351.593 0.54621613
12359.723 0.54596245
12367.854 0.54569509
12375.984 0.54542773
12384.114 0.54516674
12392.244 0.54490818
12400.375 0.5446536
12408.505 0.54441265
12416.635 0.54417171
12424.766 0.54395027
12432.896 0.54373614
12441.026 0.54353236
12449.156 0.54336346
12457.287 0.54319456
12465.417 0.54305869
12473.547 0.54293502
12481.677 0.54282581
12489.808 0.54276458
12497.938 0.54270335
12506.068 0.54268788
12514.198 0.54268908
12522.329 0.54270285
12530.459 0.54275768
12538.589 0.54281251
12546.719 0.54290001
12554.85 0.54299926
12562.98 0.54310903
12571.11 0.5432527
12579.24 0.54339637
12587.371 0.54356633
12595.501 0.54374562
12603.631 0.54392701
12611.762 0.5441151
12619.892 0.54430318
12628.022 0.54449779
12636.152 0.54469468
12644.283 0.54489148
12652.413 0.54508797
12660.543 0.54528446
12668.673 0.54547412
12676.804 0.54566141
12684.934 0.54584001
12693.064 0.54599168
12701.194 0.54614335
12709.325 0.54626849
12717.455 0.54638454
12725.585 0.54648965
12733.715 0.54656129
12741.846 0.54663293
12749.976 0.54666447
12758.106 0.54668248
12766.236 0.54668713
12774.367 0.54665151
12782.497 0.54661589
12790.627 0.54653312
12798.758 0.54643467
12806.888 0.54632735
12815.018 0.54619367
12823.148 0.54605999
12831.279 0.54589979
12839.409 0.54573089
12847.539 0.54555302
12855.669 0.5453489
12863.8 0.54514478
12871.93 0.54492734
12880.06 0.54470561
12888.19 0.54448388
12896.321 0.54426214
12904.451 0.54404041
12912.581 0.54381868
12920.711 0.54359694
12928.842 0.5433798
12936.972 0.54317568
12945.102 0.54297156
12953.232 0.54278788
12961.363 0.54261057
12969.493 0.54244034
12977.623 0.54228985
12985.754 0.54213936
12993.884 0.54202348
13002.014 0.54191822
13010.144 0.54182234
13018.275 0.5417523
13026.405 0.54168226
13034.535 0.54163927
13042.665 0.54160445
13050.796 0.54158148
13058.926 0.54159068
13067.056 0.54159989
13075.186 0.54163623
13083.317 0.54168065
13091.447 0.54172986
13099.577 0.54179189
