"wave" "response"
5010 0
8570 0
8580 0.01
8590 0.02
8600 0.02
8610 0.01
8620 0.01
8630 0.01
8640 0.01
8650 0.01
8660 0.01
8670 0.01
8680 0.01
8690 0.01
8700 0.01
8710 0.01
8720 0.01
8730 0.01
8740 0.01
8750 0.01
8760 0.02
8770 0.01
8780 0.01
8790 0.01
8800 0.01
8810 0.01
8820 0.01
8830 0.01
8840 0.01
8850 0.01
8860 0.01
8870 0.01
8880 0.01
8890 0.01
8900 0.01
8910 0.01
8920 0.01
8930 0.01
8940 0.01
8950 0.01
8960 0.02
8970 0.02
8980 0.02
8990 0.02
9000 0.02
9010 0.02
9020 0.02
9030 0.02
9040 0.02
9050 0.01
9060 0.01
9070 0.01
9080 0.01
9090 0.01
9100 0.01
9110 0.01
9120 0.01
9130 0.01
9140 0.01
9150 0.01
9160 0.01
9170 0.01
9180 0.01
9190 0.01
9200 0.01
9210 0.01
9220 0.01
9230 0.01
9240 0.01
9250 0
11050 0
11060 0.07
11070 0.03
11080 0
11090 0.03
11100 0.09
11110 0.02
11120 0
11160 0
11170 0.04
11180 0.08
11190 0.05
11200 0.03
11210 0.01
11220 0
11230 0.04
11240 0.07
11250 0.09
11260 0.09
11270 0.11
11280 0.11
11290 0.12
11300 0.12
11310 0.19
11320 0.23
11330 0.22
11340 0.19
11350 0.17
11360 0.25
11370 0.34
11380 0.38
11390 0.46
11400 0.53
11410 0.51
11420 0.53
11430 0.7
11440 0.76
11450 0.84
11460 0.94
11470 1.03
11480 1.32
11490 1.53
11500 1.69
11510 2.18
11520 2.48
11530 2.96
11540 3.55
11550 4.36
11560 5.04
11570 6.39
11580 7.42
11590 9.25
11600 11.14
11610 14.01
11620 16.82
11630 20.93
11640 24.83
11650 29.63
11660 34.39
11670 39.9
11680 45.29
11690 49.78
11700 54.26
11710 56.88
11720 59.67
11730 60.56
11740 60.6
11750 61.63
11760 61.99
11770 61.28
11780 59.94
11790 60.38
11800 59.77
11810 59.48
11820 57.33
11830 59.14
11840 58.65
11850 58.36
11860 59.29
11870 59.2
11880 58.34
11890 59.76
11900 60.57
11910 60.98
11920 61.65
11930 62.12
11940 62.72
11950 63.36
11960 63.96
11970 64.62
11980 65
11990 65.03
12000 66.26
12010 66.66
12020 67.04
12030 67.47
12040 66.36
12050 67.84
12060 68.95
12070 68.84
12080 69.15
12090 69.42
12100 69.92
12110 70.1
12120 70.2
12130 70.74
12140 70.73
12150 70.76
12160 71.16
12170 71.24
12180 71.33
12190 71.17
12200 71.59
12210 71.89
12220 71.79
12230 72.02
12240 72.25
12250 72.55
12260 72.75
12270 72.77
12280 73.17
12290 73.47
12300 73.78
12310 74.04
12320 74.24
12330 74.43
12340 74.76
12350 74.95
12360 75.15
12370 75.36
12380 75.61
12390 75.77
12400 75.93
12410 76.02
12420 76.13
12430 76.22
12440 76.3
12450 76.31
12460 76.32
12470 76.22
12480 76.11
12490 76.03
12500 75.92
12510 75.6
12520 75.44
12530 75.01
12540 74.49
12550 74.33
12560 73.56
12570 73.19
12580 72.81
12590 71.77
12600 71.69
12610 70.19
12620 69.58
12630 68.46
12640 67.26
12650 67.22
12660 66.17
12670 67.27
12680 64.34
12690 56.25
12700 65.88
12710 67.54
12720 67.33
12730 67.33
12740 67.43
12750 67.65
12760 67.79
12770 68.01
12780 68.06
12790 68.38
12800 68.48
12810 69.02
12820 69.49
12830 69.99
12840 70.48
12850 70.67
12860 70.94
12870 70.96
12880 71.08
12890 71.45
12900 72.05
12910 72.82
12920 73.52
12930 74.12
12940 74.58
12950 74.56
12960 74.5
12970 75.03
12980 75.79
12990 76.72
13000 77.28
13010 77.45
13020 78.01
13030 77.63
13040 77.15
13050 78.91
13060 79.68
13070 79.48
13080 79.9
13090 80.18
13100 78.57
13110 80.15
13120 80.78
13130 80.39
13140 80.12
13150 80.75
13160 80.8
13170 79.67
13180 80.07
13190 79.6
13200 78.68
13210 79.46
13220 78.99
13230 76.49
13240 75.74
13250 76.2
13260 75.36
13270 73.07
13280 70.4
13290 66.37
13300 65.91
13310 61.76
13320 58.47
13330 57.54
13340 53.78
13350 51.99
13360 46.63
13370 44.77
13380 41.5
13390 38.96
13400 34.42
13410 32
13420 29.9
13430 27.14
13440 21.83
13450 20.54
13460 17.99
13470 15.98
13480 10.77
13490 11.29
13500 9.41
13510 8.26
13520 6.87
13530 5.13
13540 4.4
13550 2.58
13560 3.06
13570 2.74
13580 2.11
13590 1.87
13600 1.5
13610 0.77
13620 0.31
13630 1.16
13640 1.05
13650 0.4
13660 1.02
13670 0.81
13680 0.33
13690 0.57
13700 0.51
13710 0.34
13720 0.46
13730 0.58
13740 0.58
13750 0.49
13760 0.48
13770 0.4
13780 0.53
13790 0.29
13800 0.26
13810 0.11
13820 0.13
13830 0.06
13840 0.13
13850 0.14
13860 0.22
13870 0.23
13880 0.07
13890 0.14
13900 0.13
13910 0.14
13920 0.08
13930 0.09
13940 0.11
13950 0.04
13960 0.03
13970 0.05
13980 0.07
13990 0.07
14000 0.03
14010 0.03
14020 0.08
14030 0.1
14040 0.07
14050 0.03
14060 0.05
14070 0.02
14080 0.01
14090 0
14100 0
14110 0.01
14120 0.04
14130 0.06
14140 0.04
14150 0.03
14160 0.04
14170 0.02
14180 0
14210 0
14220 0.1
14230 0.04
14240 0
14260 0
14270 0.03
14280 0.07
14290 0.07
14300 0.07
14310 0.07
14320 0.06
14330 0.04
14340 0
14360 0
14370 0.05
14380 0.08
14390 0.03
14400 0
14430 0
14440 0.08
14450 0.04
14460 0.01
14470 0.02
14480 0.02
14490 0
14510 0
14520 0.01
14530 0.05
14540 0.09
14550 0.03
14560 0
14570 0
14580 0.04
14590 0.03
14600 0.02
14610 0.02
14620 0.01
14630 0
14680 0
14690 0.01
14700 0.03
14710 0
14780 0
14790 0.02
14800 0.03
14810 0.05
14820 0.07
14830 0.05
14840 0.01
14850 0.06
14860 0.12
14870 0.04
14880 0
14960 0
14970 0.02
14980 0.05
14990 0
16750 0
16760 0.01
16770 0.01
16780 0.01
16790 0.01
16800 0.01
16810 0.02
16820 0.02
16830 0.02
16840 0.02
16850 0.02
16860 0.02
16870 0.02
16880 0.02
16890 0.02
16900 0.02
16910 0.02
16920 0.02
16930 0.02
16940 0.02
16950 0.02
16960 0.01
16970 0.01
16980 0.01
16990 0.01
17000 0.01
17010 0.01
17020 0
25094.1 0
25125.6 0.03
25157.2 0
32000 0
