"wave" "response"
5010 0
8550 0
8560 1e-04
8570 1e-04
8580 1e-04
8590 1e-04
8600 0
11190 0
11200 1e-04
11210 1e-04
11220 1e-04
11230 1e-04
11240 1e-04
11250 1e-04
11260 1e-04
11270 1e-04
11280 1e-04
11290 2e-04
11300 2e-04
11310 3e-04
11320 3e-04
11330 3e-04
11340 3e-04
11350 3e-04
11360 4e-04
11370 5e-04
11380 5e-04
11390 6e-04
11400 6e-04
11410 7e-04
11420 8e-04
11430 9e-04
11440 9e-04
11450 0.001
11460 0.0011
11470 0.0011
11480 0.0014
11490 0.0016
11500 0.0017
11510 0.002
11520 0.0021
11530 0.0023
11540 0.0026
11550 0.0029
11560 0.0031
11570 0.0034
11580 0.0035
11590 0.0036
11600 0.0037
11610 0.0038
11620 0.0038
11630 0.0038
11640 0.0037
11650 0.0036
11660 0.0035
11670 0.0034
11680 0.0032
11690 0.0031
11700 0.003
11710 0.0028
11720 0.0027
11730 0.0026
11740 0.0025
11750 0.0025
11760 0.0024
11770 0.0024
11780 0.0024
11790 0.0024
11800 0.0024
11810 0.0025
11820 0.0025
11830 0.0027
11840 0.0028
11850 0.003
11860 0.0032
11870 0.0034
11880 0.0036
11890 0.0038
11900 0.004
11910 0.0042
11920 0.0042
11930 0.0042
11940 0.0041
11950 0.0039
11960 0.0036
11970 0.0033
11980 0.0029
11990 0.0025
12000 0.0021
12010 0.0017
12020 0.0014
12030 0.0011
12040 9e-04
12050 7e-04
12060 6e-04
12070 4e-04
12080 4e-04
12090 3e-04
12100 2e-04
12110 2e-04
12120 2e-04
12130 1e-04
12140 1e-04
12150 1e-04
12160 1e-04
12170 1e-04
12180 0
18000 0
18010 4e-04
18020 2e-04
18030 0
18060 0
18070 2e-04
18080 2e-04
18090 0
18120 0
18130 2e-04
18140 4e-04
18150 0
18160 1e-04
18170 2e-04
18180 0
18210 0
18220 2e-04
18230 6e-04
18240 0
18270 0
18280 4e-04
18290 0
18310 0
18320 1e-04
18330 0
18380 0
18390 2e-04
18400 0
18410 1e-04
18420 0
18430 0
18440 2e-04
18450 9e-04
18460 2e-04
18470 0
18490 0
18500 3e-04
18510 4e-04
18520 5e-04
18530 0
18540 0
18550 2e-04
18560 4e-04
18570 0
18580 0
18590 1e-04
18600 0
18630 0
18640 4e-04
18650 1e-04
18660 4e-04
18670 5e-04
18680 0
18760 0
18770 1e-04
18780 6e-04
18790 4e-04
18800 0
18810 0
18820 3e-04
18830 2e-04
18840 2e-04
18850 3e-04
18860 1e-04
18870 4e-04
18880 9e-04
18890 4e-04
18900 1e-04
18910 0
18920 2e-04
18930 4e-04
18940 7e-04
18950 9e-04
18960 6e-04
18970 6e-04
18980 0
18990 2e-04
19000 2e-04
19010 6e-04
19020 0.001
19030 3e-04
19040 8e-04
19050 3e-04
19060 1e-04
19070 0
19080 5e-04
19090 7e-04
19100 9e-04
19110 6e-04
19120 7e-04
19130 3e-04
19140 2e-04
19150 0.001
19160 0.0011
19170 0.0012
19180 0.0024
