"wave" "response"
499599.8 -0.0002900000
502110.4 0.0000660000
504646.3 0.0008660000
507208.0 0.0018160000
509795.8 0.0029360000
512410.1 0.0043460000
515051.4 0.0060870000
517720.0 0.0081700000
520416.5 0.0106770000
523141.2 0.0140900000
525894.6 0.0184540000
528677.1 0.0231090000
531489.2 0.0274430000
534331.4 0.0325230000
537204.1 0.0401730000
540107.9 0.0497110000
543043.3 0.0605040000
546010.8 0.0736170000
549010.8 0.0901470000
552044.0 0.1095230000
555110.9 0.1296200000
558212.1 0.1457720000
561348.1 0.1535410000
564519.6 0.1585990000
567727.1 0.1700370000
570971.3 0.1898030000
574252.7 0.2149290000
577572.1 0.2414510000
580930.1 0.2634990000
584327.3 0.2799450000
587764.5 0.2948170000
591242.4 0.3126680000
594761.7 0.3366480000
598323.2 0.3699820000
601927.5 0.4120770000
605575.6 0.4541260000
609268.1 0.4911890000
613006.0 0.5264360000
616789.9 0.5595590000
620620.9 0.5951500000
624499.8 0.6415870000
628427.5 0.6940720000
632404.9 0.7379700000
636432.9 0.7746800000
640512.6 0.8080520000
644645.0 0.8278620000
648831.0 0.8383410000
653071.7 0.8488570000
657368.2 0.8605280000
661721.7 0.8699980000
666133.1 0.8831750000
670603.8 0.9033750000
675134.9 0.9234210000
679727.7 0.9452810000
684383.4 0.9700160000
689103.2 0.9847660000
693888.7 0.9890370000
698741.1 0.9952370000
703661.8 1.0000000000
708652.3 0.9982680000
713714.1 0.9999890000
718848.7 1.0006450000
724057.8 0.9922010000
729342.9 0.9820830000
734705.7 0.9725780000
740147.9 0.9585180000
745671.4 0.9386030000
751278.0 0.9179370000
756969.5 0.8830380000
762747.9 0.8320290000
768615.2 0.7817210000
774573.4 0.7298820000
780624.8 0.6702210000
786771.4 0.6119890000
793015.7 0.5584210000
799359.8 0.5057310000
805806.2 0.4567610000
812357.5 0.4165410000
819016.2 0.3790620000
825784.9 0.3407290000
832666.4 0.3075580000
839663.6 0.2793670000
846779.4 0.2508570000
854016.9 0.2236510000
861379.1 0.2008180000
868869.3 0.1789810000
876491.0 0.1596080000
884247.5 0.1442210000
892142.6 0.1303850000
900179.9 0.1173190000
908363.4 0.1071470000
916697.0 0.0989240000
925184.9 0.0895550000
933831.5 0.0815570000
942641.3 0.0757790000
951618.8 0.0690100000
960769.0 0.0613750000
970096.8 0.0560920000
979607.6 0.0518650000
989306.7 0.0467220000
999199.7 0.0421400000
1009293.0 0.0382310000
1019592.0 0.0345540000
1030103.0 0.0330210000
1040833.0 0.0329900000
1051789.0 0.0324220000
1062978.0 0.0306870000
1074408.0 0.0302650000
1086087.0 0.0309920000
1098022.0 0.0302700000
1110222.0 0.0293500000
