"wave" "response"
1690 0
1691 0.00245
1692 0.0049
1693 0.00735
1694 0.0098
1695 0.01225
1696 0.0147
1697 0.01715
1698 0.0196
1699 0.02205
1700 0.0245
1701 0.024676
1702 0.024852
1703 0.025028
1704 0.025204
1705 0.02538
1706 0.025556
1707 0.025732
1708 0.025908
1709 0.026084
1710 0.02626
1711 0.026436
1712 0.026612
1713 0.026788
1714 0.026964
1715 0.02714
1716 0.027316
1717 0.027492
1718 0.027668
1719 0.027844
1720 0.02802
1721 0.028196
1722 0.028372
1723 0.028548
1724 0.028724
1725 0.0289
1726 0.029076
1727 0.029252
1728 0.029428
1729 0.029604
1730 0.02978
1731 0.029956
1732 0.030132
1733 0.030308
1734 0.030484
1735 0.03066
1736 0.030836
1737 0.031012
1738 0.031188
1739 0.031364
1740 0.03154
1741 0.031716
1742 0.031892
1743 0.032068
1744 0.032244
1745 0.03242
1746 0.032596
1747 0.032772
1748 0.032948
1749 0.033124
1750 0.0333
1751 0.034672
1752 0.036044
1753 0.037416
1754 0.038788
1755 0.04016
1756 0.041532
1757 0.042904
1758 0.044276
1759 0.045648
1760 0.04702
1761 0.048392
1762 0.049764
1763 0.051136
1764 0.052508
1765 0.05388
1766 0.055252
1767 0.056624
1768 0.057996
1769 0.059368
1770 0.06074
1771 0.062112
1772 0.063484
1773 0.064856
1774 0.066228
1775 0.0676
1776 0.068972
1777 0.070344
1778 0.071716
1779 0.073088
1780 0.07446
1781 0.075832
1782 0.077204
1783 0.078576
1784 0.079948
1785 0.08132
1786 0.082692
1787 0.084064
1788 0.085436
1789 0.086808
1790 0.08818
1791 0.089552
1792 0.090924
1793 0.092296
1794 0.093668
1795 0.09504
1796 0.096412
1797 0.097784
1798 0.099156
1799 0.10053
1800 0.1019
1801 0.10338
1802 0.10486
1803 0.10634
1804 0.10782
1805 0.1093
1806 0.11078
1807 0.11226
1808 0.11374
1809 0.11522
1810 0.1167
1811 0.11818
1812 0.11966
1813 0.12114
1814 0.12262
1815 0.1241
1816 0.12558
1817 0.12706
1818 0.12854
1819 0.13002
1820 0.1315
1821 0.13298
1822 0.13446
1823 0.13594
1824 0.13742
1825 0.1389
1826 0.14038
1827 0.14186
1828 0.14334
1829 0.14482
1830 0.1463
1831 0.14778
1832 0.14926
1833 0.15074
1834 0.15222
1835 0.1537
1836 0.15518
1837 0.15666
1838 0.15814
1839 0.15962
1840 0.1611
1841 0.16258
1842 0.16406
1843 0.16554
1844 0.16702
1845 0.1685
1846 0.16998
1847 0.17146
1848 0.17294
1849 0.17442
1850 0.1759
1851 0.17772
1852 0.17954
1853 0.18136
1854 0.18318
1855 0.185
1856 0.18682
1857 0.18864
1858 0.19046
1859 0.19228
1860 0.1941
1861 0.19592
1862 0.19774
1863 0.19956
1864 0.20138
1865 0.2032
1866 0.20502
1867 0.20684
1868 0.20866
1869 0.21048
1870 0.2123
1871 0.21412
1872 0.21594
1873 0.21776
1874 0.21958
1875 0.2214
1876 0.22322
1877 0.22504
1878 0.22686
1879 0.22868
1880 0.2305
1881 0.23232
1882 0.23414
1883 0.23596
1884 0.23778
1885 0.2396
1886 0.24142
1887 0.24324
1888 0.24506
1889 0.24688
1890 0.2487
1891 0.25052
1892 0.25234
1893 0.25416
1894 0.25598
1895 0.2578
1896 0.25962
1897 0.26144
1898 0.26326
1899 0.26508
1900 0.2669
1901 0.26824
1902 0.26957
1903 0.27091
1904 0.27224
1905 0.27358
1906 0.27492
1907 0.27625
1908 0.27759
1909 0.27892
1910 0.28026
1911 0.2816
1912 0.28293
1913 0.28427
1914 0.2856
1915 0.28694
1916 0.28828
1917 0.28961
1918 0.29095
1919 0.29228
1920 0.29362
1921 0.29496
1922 0.29629
1923 0.29763
1924 0.29896
1925 0.3003
1926 0.30164
1927 0.30297
1928 0.30431
1929 0.30564
1930 0.30698
1931 0.30832
1932 0.30965
1933 0.31099
1934 0.31232
1935 0.31366
1936 0.315
1937 0.31633
1938 0.31767
1939 0.319
1940 0.32034
1941 0.32168
1942 0.32301
1943 0.32435
1944 0.32568
1945 0.32702
1946 0.32836
1947 0.32969
1948 0.33103
1949 0.33236
1950 0.3337
1951 0.33601
1952 0.33832
1953 0.34064
1954 0.34295
1955 0.34526
1956 0.34757
1957 0.34988
1958 0.3522
1959 0.35451
1960 0.35682
1961 0.35913
1962 0.36144
1963 0.36376
1964 0.36607
1965 0.36838
1966 0.37069
1967 0.373
1968 0.37532
1969 0.37763
1970 0.37994
1971 0.38225
1972 0.38456
1973 0.38688
1974 0.38919
1975 0.3915
1976 0.39381
1977 0.39612
1978 0.39844
1979 0.40075
1980 0.40306
1981 0.40537
1982 0.40768
1983 0.41
1984 0.41231
1985 0.41462
1986 0.41693
1987 0.41924
1988 0.42156
1989 0.42387
1990 0.42618
1991 0.42849
1992 0.4308
1993 0.43312
1994 0.43543
1995 0.43774
1996 0.44005
1997 0.44236
1998 0.44468
1999 0.44699
2000 0.4493
2001 0.44974
2002 0.45017
2003 0.45061
2004 0.45104
2005 0.45148
2006 0.45192
2007 0.45235
2008 0.45279
2009 0.45322
2010 0.45366
2011 0.4541
2012 0.45453
2013 0.45497
2014 0.4554
2015 0.45584
2016 0.45628
2017 0.45671
2018 0.45715
2019 0.45758
2020 0.45802
2021 0.45846
2022 0.45889
2023 0.45933
2024 0.45976
2025 0.4602
2026 0.46064
2027 0.46107
2028 0.46151
2029 0.46194
2030 0.46238
2031 0.46282
2032 0.46325
2033 0.46369
2034 0.46412
2035 0.46456
2036 0.465
2037 0.46543
2038 0.46587
2039 0.4663
2040 0.46674
2041 0.46718
2042 0.46761
2043 0.46805
2044 0.46848
2045 0.46892
2046 0.46936
2047 0.46979
2048 0.47023
2049 0.47066
2050 0.4711
2051 0.4722
2052 0.4733
2053 0.47439
2054 0.47549
2055 0.47659
2056 0.47769
2057 0.47879
2058 0.47988
2059 0.48098
2060 0.48208
2061 0.48318
2062 0.48428
2063 0.48537
2064 0.48647
