"wave" "response"
25003 0
134820 0
141090 2.3358e-07
255920 0
315210 0
315460 2.9019e-08
315710 3.4739e-07
315960 9.5301e-07
316210 1.2388e-06
316460 1.0366e-06
316710 5.4686e-07
316960 1.1508e-07
489000 0
495660 3.8637e-08
496280 5.7809e-08
498130 5.7352e-08
498750 7.6263e-08
499380 1.1408e-07
5e+05 1.8962e-07
500630 2.6481e-07
501250 3.5848e-07
501880 4.705e-07
503780 5.6061e-07
504410 5.4082e-07
505050 5.0249e-07
505690 4.8289e-07
506330 3.3362e-07
506970 2.2211e-07
507610 5.7298e-07
508260 1.1074e-06
508910 1.622e-06
509550 2.3744e-06
511510 3.0431e-06
512160 3.2221e-06
514140 3.0052e-06
514800 2.6541e-06
515460 3.2297e-06
516130 4.6361e-06
516800 5.0813e-06
517460 5.6516e-06
518130 6.743e-06
518810 6.3909e-06
519480 6.1657e-06
520160 7.5655e-06
520830 8.2459e-06
521510 8.9797e-06
522190 1.1131e-05
522880 1.1882e-05
523560 1.2104e-05
524250 1.3999e-05
524930 1.3576e-05
525620 1.0669e-05
526320 9.7215e-06
527010 8.9008e-06
527700 7.5197e-06
528400 9.2767e-06
529100 1.0278e-05
529800 7.4662e-06
530500 6.1869e-06
531210 6.1549e-06
531920 4.5469e-06
532620 4.9669e-06
533330 6.748e-06
534040 6.7303e-06
534760 7.0573e-06
535480 8.4729e-06
536190 7.2396e-06
536910 5.2622e-06
537630 5.564e-06
538360 5.8832e-06
539080 5.8942e-06
539810 7.4764e-06
540540 8.4594e-06
541270 7.9602e-06
542010 8.6313e-06
542740 8.7796e-06
543480 6.6149e-06
544220 5.9782e-06
544960 6.8289e-06
545700 7.1596e-06
546450 1.1769e-05
547200 1.9075e-05
547940 2.1221e-05
548700 2.198e-05
549450 2.3269e-05
550210 1.8351e-05
550960 1.4328e-05
551720 1.8399e-05
552490 2.2654e-05
553250 3.283e-05
554020 5.5799e-05
554790 7.3626e-05
555560 8.6012e-05
556330 0.0001046
557100 0.0001029
557880 7.2334e-05
558660 4.6239e-05
559440 2.2573e-05
560220 1.4481e-06
561010 1.4094e-05
561800 5.7636e-05
562590 9.1083e-05
563380 0.00013042
564170 0.00016844
564970 0.00016418
565770 0.00015461
566570 0.00014903
567380 0.00010074
568180 6.1074e-05
568990 6.693e-05
569800 5.0248e-05
570610 2.1966e-05
571430 3.4601e-05
572250 4.6997e-05
573070 5.3655e-05
573890 8.4659e-05
574710 8.6903e-05
575540 6.3003e-05
576370 8.6622e-05
577200 0.00011155
578040 9.4286e-05
578870 0.00010465
579710 0.00014644
580550 0.00020361
581390 0.00032331
582240 0.00045338
583090 0.00049363
583940 0.00048387
584790 0.00047884
585650 0.00046295
586510 0.00044673
587370 0.00041794
588240 0.00035615
589100 0.00032119
589970 0.00032964
590840 0.00032003
591720 0.00028134
592590 0.00024849
593470 0.00025465
594350 0.00030505
595240 0.00035093
596120 0.00034123
597010 0.00030987
597910 0.00030646
598800 0.00033245
599700 0.00035458
600600 0.00032177
601500 0.00027391
602410 0.00030671
603320 0.00035357
604230 0.00033716
605140 0.00031614
606060 0.00030243
606980 0.00032736
607900 0.00052105
608830 0.00078046
609760 0.00091519
610690 0.00098953
611620 0.00098942
612560 0.00079813
613500 0.00058759
614440 0.00043879
615390 0.00023897
616330 0.00018388
617280 0.00030551
618240 0.00028067
619200 0.00022127
620150 0.00035156
621120 0.0004064
622080 0.00040768
623050 0.00057716
624030 0.00061833
625000 0.00053965
625980 0.0006478
626960 0.00079179
627940 0.00074917
628930 0.0008539
629920 0.00092497
630910 0.0007469
631910 0.00078537
632910 0.00086689
633910 0.00056613
634920 0.0004077
635930 0.00051645
636940 0.00036812
637960 0.00035252
638980 0.00066256
640000 0.00063619
641030 0.00055128
642050 0.0008341
643090 0.00082485
644120 0.0006618
645160 0.00087483
646200 0.00080869
647250 0.00049804
648300 0.00063729
649350 0.00056042
650410 9.081e-05
651470 0.00024946
652530 0.00058852
653590 0.00042581
654660 0.00057555
655740 0.00090043
656810 0.0006236
657890 0.00055402
658980 0.00090727
660070 0.00077511
661160 0.00068337
662250 0.00095855
663350 0.00076087
664450 0.00029075
665560 0.00047268
666670 0.00036058
667780 3.3025e-05
668900 0.00026254
670020 0.00042393
671140 2.5249e-05
672270 0.00018521
673400 0.00046397
674540 3.1631e-05
675680 0.00021022
676820 0.00050511
677970 9.5123e-05
679120 0.00011111
680270 0.00052916
681430 0.00011022
682590 2.0587e-05
683760 0.00029492
684930 0.00010225
686110 9.2512e-05
687290 0.00031506
688470 0.00015359
689650 8.9825e-05
690850 0.00073476
692040 0.00057844
693240 0.0004171
694440 0.0010309
695650 0.000771
696860 0.00028388
698080 0.00076873
