"wave" "response" 
4200 0.0013831645
4300 0.0020314249
4400 0.0028449891
4500 0.0038426055
4600 0.0050431776
4700 0.161793789
4800 0.9525198862
4900 0.9508389321
5000 0.9228471818
5100 0.990594027
5200 1.0614163326
5300 1.1321642468
5400 1.2024297348
5500 1.2722397281
5600 1.4080126733
5700 1.5402210265
5800 1.6751225892
5900 1.8102731423
6000 1.9419174594
6100 1.9530499791
6200 1.9637384419
6300 1.9741491569
6400 1.9813482336
6500 1.9915738729
6600 1.983764309
6700 1.9761590641
6800 1.9666057499
6900 1.9590633953
7000 1.9511000952
7100 1.9483473513
7200 1.9458220154
7300 1.947071565
7400 1.9378426573
7500 1.812081989
7600 1.2506556638
7700 0.3461352424
7800 0.0719762692
7900 0.0005112052
