"wave" "response" 
12150.701 0
12173.367 0.041690276
12206.734 0.10306424
12240.101 0.16583663
12273.467 0.22768214
12306.834 0.29463429
12340.201 0.36170546
12373.568 0.38533843
12406.935 0.39069498
12440.302 0.39353678
12473.668 0.39572199
12507.035 0.39773491
12540.402 0.39980073
12573.769 0.40205358
12607.136 0.40451339
12640.503 0.4071842
12673.869 0.40994655
12707.236 0.41269154
12740.603 0.41531781
12773.97 0.41779732
12807.337 0.42007304
12840.704 0.42209968
12874.07 0.4239237
12907.437 0.42559765
12940.804 0.42716868
12974.171 0.42863042
13007.538 0.43000428
13040.905 0.4313149
13074.271 0.43256056
13107.638 0.43369425
13141.005 0.43472988
13174.372 0.43569841
13207.739 0.43659941
13241.106 0.43746871
13274.472 0.43828509
13307.839 0.43908747
13341.206 0.43986982
13374.573 0.44056688
13407.94 0.44120097
13441.307 0.44171642
13474.673 0.44211112
13508.04 0.44239317
13541.407 0.44256791
13574.774 0.44268307
13608.141 0.44273689
13641.508 0.44279221
13674.874 0.44290386
13708.241 0.44310969
13741.608 0.44343212
13774.975 0.44388628
13808.342 0.4445223
13841.709 0.4453089
13875.075 0.44622007
13908.442 0.44717757
13941.809 0.44813836
13975.176 0.44911456
14008.543 0.45003828
14041.91 0.45088379
14075.276 0.45160336
14108.643 0.45223618
14142.01 0.45282252
14175.377 0.45334041
14208.744 0.45379236
14242.111 0.45420352
14275.477 0.45457173
14308.844 0.45488417
14342.211 0.45505183
14375.578 0.45501426
14408.945 0.45473575
14442.312 0.45420925
14475.678 0.45344912
14509.045 0.45251307
14542.412 0.45149121
14575.779 0.45047744
14609.146 0.44956995
14642.513 0.44880167
14675.879 0.44823623
14709.246 0.44784545
14742.613 0.44759809
14775.98 0.44746458
14809.347 0.44740695
14842.714 0.44740165
14876.08 0.44740604
14909.447 0.44741308
14942.814 0.44742284
14976.181 0.44743524
15009.548 0.44745039
15042.915 0.44746545
15076.281 0.44747774
15109.648 0.44748733
15143.015 0.44749422
15176.382 0.44749845
15209.749 0.44749998
15243.116 0.4475
15276.482 0.44748506
15309.849 0.44741279
15343.216 0.44728087
15376.583 0.44708939
15409.95 0.44683884
15443.317 0.44652941
15476.683 0.44618427
15510.05 0.44588882
15543.417 0.44563587
15576.784 0.44538293
15610.151 0.44512998
15643.518 0.44487703
15676.884 0.44461493
15710.251 0.44430047
15743.618 0.4439417
15776.985 0.44358034
15810.352 0.44321898
15843.719 0.44284351
15877.085 0.44240931
15910.452 0.44191281
15943.819 0.44136714
15977.186 0.44078474
16010.553 0.4401436
16043.92 0.4394622
16077.286 0.43883187
16110.653 0.43821904
16144.02 0.43760258
16177.387 0.43698871
16210.754 0.43643199
16244.121 0.43589261
16277.487 0.43530068
16310.854 0.43473903
16344.221 0.43423176
16377.588 0.43376159
16410.955 0.43329182
16444.322 0.43285308
16477.688 0.43247177
16511.055 0.43211041
16544.422 0.43174905
16577.789 0.43138699
16611.156 0.43098761
16644.523 0.43055398
16677.889 0.43010554
16711.256 0.42959997
16744.623 0.4290364
16777.99 0.42836089
16811.357 0.42762822
16844.724 0.42681909
16878.09 0.42591472
16911.457 0.4249674
16944.824 0.4239605
16978.191 0.42293408
17011.558 0.42188828
17044.925 0.42086731
17078.291 0.41984072
17111.658 0.41881141
17145.025 0.41779909
17178.392 0.41682288
17211.759 0.41587976
17245.126 0.41491607
17278.492 0.41400232
17311.859 0.41312811
17345.226 0.41229403
17378.593 0.41148613
17411.96 0.41071399
17445.327 0.41001034
17478.693 0.4093151
17512.06 0.40862117
17545.427 0.40795831
17578.794 0.40730408
17612.161 0.40663739
17645.528 0.40594915
17678.894 0.40525852
17712.261 0.4045255
17745.628 0.4036791
17778.995 0.4027517
17812.362 0.40171666
17845.729 0.40058705
17879.095 0.39934636
17912.462 0.39802318
17945.829 0.39668817
17979.196 0.3953211
18012.563 0.39397305
18045.93 0.3926663
18079.296 0.39146124
18112.663 0.3904123
18146.03 0.38952325
18179.397 0.38879361
18212.764 0.38821074
18246.131 0.38774576
18279.497 0.38735783
18312.864 0.38699648
18346.231 0.38650226
18379.598 0.3856765
18412.965 0.38457733
18446.332 0.38324667
18479.698 0.38149716
18513.065 0.37652588
18546.432 0.35750502
18579.799 0.30697036
18613.166 0.24784898
18646.533 0.18900898
18679.899 0.13184713
18713.266 0.073848634
18746.633 0.02684321
18765.687 0
