"wave" "response"
2522100 1.4797e-05
2534900 2.1124e-05
2541300 2.7993e-05
2547100 3.0759e-05
2553600 3.7765e-05
2560200 3.9914e-05
2566700 4.1831e-05
2573300 5.7046e-05
2579300 6.9839e-05
2586000 7.4428e-05
2592700 7.8041e-05
2599400 9.2944e-05
2605500 0.00010273
2612300 0.00012454
2619200 0.00015027
2626100 0.00017758
2633000 0.00021228
2639200 0.00026326
2646200 0.0003157
2653200 0.00039853
2660300 0.00049006
2666700 0.00060183
2673800 0.00074719
2681000 0.0009446
2688200 0.0011676
2695400 0.0014512
2702000 0.0017847
2709300 0.0020907
2716700 0.0024132
2724100 0.0027824
2731500 0.0031752
2738200 0.0036281
2745700 0.0042246
2753300 0.0048504
2760900 0.0054894
2767800 0.0062607
2775500 0.0071522
2783200 0.0079895
2791000 0.0088449
2798800 0.0098105
2805800 0.011001
2813700 0.011945
2821700 0.013375
2829700 0.015146
2837700 0.016615
2845000 0.019887
2853100 0.025881
2861200 0.028775
2869400 0.037095
2876900 0.044807
2885200 0.055121
2893500 0.065916
2901900 0.07854
2910400 0.09141
2918000 0.10774
2926500 0.13193
2935100 0.16586
2943800 0.20855
2952500 0.25948
2960300 0.31365
2969100 0.36717
2978000 0.40533
2986900 0.43153
2994900 0.45351
3003900 0.4754
3013000 0.49198
3022100 0.50332
3031200 0.52102
3039500 0.52556
3048800 0.52261
3058100 0.52108
3067500 0.5234
3076900 0.53165
3085500 0.52551
3095000 0.54658
3104600 0.56522
3114300 0.57639
3123000 0.5806
3132800 0.59225
3142700 0.60239
3152600 0.59524
3162600 0.59191
3171600 0.58762
3181700 0.57438
3191800 0.5732
3202000 0.58144
3211300 0.61465
3221600 0.65054
3232100 0.69224
3242500 0.70621
3253100 0.71885
3262600 0.69662
3273300 0.69144
3284100 0.67334
3294900 0.66598
3305800 0.67649
3315600 0.69504
3326700 0.70441
3337800 0.72773
3349000 0.73845
3359100 0.74425
3370400 0.74702
3381800 0.74729
3393300 0.73944
3404800 0.74075
3415300 0.7441
3427000 0.75176
3438800 0.77554
3450700 0.78364
3462600 0.77209
3473400 0.74954
3485500 0.74872
3497700 0.73376
3510000 0.74102
3521100 0.77504
3533600 0.82051
3546100 0.86618
3558700 0.87485
3571400 0.88597
3582900 0.87292
3595800 0.83144
3608800 0.81219
3621900 0.80674
3635000 0.80839
3647000 0.82723
3660300 0.83658
3673800 0.86692
3687300 0.87504
3699600 0.8887
3713300 0.90323
3727200 0.92065
3741100 0.9119
3755200 0.90028
3767900 0.89461
3782100 0.89413
3796500 0.89469
3811000 0.89436
3825600 0.89793
3838800 0.91912
3853600 0.90268
3868500 0.88461
3883500 0.86471
3897100 0.85826
3912400 0.84901
3927700 0.85466
3943200 0.83202
3958800 0.80702
3973000 0.74421
3988800 0.69377
4004800 0.60863
4020900 0.53892
4037100 0.46087
4051900 0.40862
4068300 0.34158
4085000 0.29822
4101700 0.26159
4116900 0.22618
4133900 0.1875
4151100 0.15589
4168400 0.076412
4185900 0.035884
4201700 0.02117
4219400 0.013973
4237300 0.0099172
4255300 0.0070921
4271700 0.0053999
4290000 0.0042825
4308500 0.0033619
4327100 0.0026169
4345900 0.0021231
4363000 0.0017236
4382100 0.0014359
4401400 0.0012646
4420900 0.0011439
4440500 0.0010085
4458300 0.00087663
4478300 0.00076571
4498400 0.00064656
4518800 0.00056554
4537200 0.0005046
4557900 0.00047451
4578800 0.00046049
4599800 0.00045394
4621100 0.00043607
4640400 0.00041111
4662000 0.00039289
4683800 0.00036199
4705900 0.00033043
4728100 0.00029077
