"wave" "response"
8300 0.0006734183
8400 0.0010540414
8500 0.0015484649
8600 0.0021712427
8700 0.0029325725
8800 0.0038483006
8900 0.0049294882
9000 0.0410339761
9100 0.2162517427
9200 0.6918154321
9300 1.692904147
9400 2.4444793587
9500 2.6931412326
9600 2.7375273725
9700 2.7416470495
9800 2.745857518
9900 2.7468339663
10000 2.7456002385
10100 2.7391802079
10200 2.7333801631
10300 2.7275751457
10400 2.7208038307
10500 2.7177068027
10600 2.7117253087
10700 2.7057539477
10800 2.7038009788
10900 2.6992028621
11000 2.6941171532
11100 2.6853782124
11200 2.6811964338
11300 2.6743275553
11400 2.6698431798
11500 2.6649920589
11600 2.6576161357
11700 2.6530136408
11800 2.6461995251
11900 2.6419618077
12000 2.6379121571
12100 2.6332252508
12200 2.6292971069
12300 2.6227848152
12400 2.618501405
12500 2.6171849487
12600 2.6160714097
12700 2.6185278676
12800 2.6173146051
12900 2.6188197472
13000 2.6178792394
13100 2.6164321603
13200 2.6153409493
13300 2.6141990847
13400 2.613087799
13500 2.6149222877
13600 2.616214732
13700 2.6145742262
13800 2.6169251848
13900 2.61945238
14000 2.6190964917
14100 2.6202351638
14200 2.6225685689
14300 2.6307101512
14400 2.6367093933
14500 2.6387216516
14600 2.6437345984
14700 2.6485393109
14800 2.6531959903
14900 2.6576518219
15000 2.6646739597
15100 2.6714618623
15200 2.6790128279
15300 2.6838864201
15400 2.6913153707
15500 2.6960555158
15600 2.6977960744
15700 2.6984260211
15800 2.6993288414
15900 2.7007264378
16000 2.7032287588
16100 2.7073405204
16200 2.7109924452
16300 2.7185429545
16400 2.7219795773
16500 2.7284090416
16600 2.7390268883
16700 2.7523446918
16800 2.7624499547
16900 2.775390904
17000 2.7854003262
17100 2.7958119703
17200 2.8088498319
17300 2.8182857283
17400 2.8284442153
17500 2.8357345285
17600 2.834060679
17700 2.8316011562
17800 2.8289113125
17900 2.8298001861
18000 2.8262269078
18100 2.8298880005
18200 2.8369740117
18300 2.8433863302
18400 2.8496223478
18500 2.8552570241
18600 2.8618135878
18700 2.8693888045
18800 2.8762413299
18900 2.8814055297
19000 2.8867668262
19100 2.8936380802
19200 2.9008268646
19300 2.90460705
19400 2.9143655266
19500 2.8826111857
19600 2.7765897759
19700 2.6360018574
19800 2.3801887372
19900 1.9587895834
20000 1.4546827406
20100 0.9526440875
20200 0.5370436038
20300 0.2996859629
20400 0.1876093553
20500 0.0938038979
20600 0.0282140492
20700 0.0008160316
