"wave" "response"
49900 0
50000 1.4663e-11
50100 9.0248e-12
50200 5.8687e-12
50300 1.8544e-12
50400 4.9693e-12
50500 8.6894e-11
50600 1.5672e-10
50700 1.0752e-11
50800 2.2526e-11
50900 9.479e-12
51000 9.0778e-11
51100 4.5217e-08
51200 4.453e-08
51300 4.7911e-08
51400 3.4158e-08
51500 3.4895e-08
51600 3.2278e-08
51700 3.0016e-08
51800 2.7814e-08
51900 4.1524e-08
52000 3.9789e-08
52100 3.066e-08
52200 2.6267e-08
52300 2.6903e-08
52400 2.8205e-08
52500 4.1719e-08
52600 3.4557e-08
52700 3.5231e-08
52800 3.8575e-08
52900 4.3744e-08
53000 3.5143e-08
53100 4.7065e-08
53200 5.057e-08
53300 5.3088e-08
53400 4.8e-08
53500 4.9825e-08
53600 3.2628e-08
53700 3.7712e-08
53800 4.6339e-08
53900 4.7606e-08
54000 4.7143e-08
54100 4.7684e-08
54200 3.6894e-08
54300 3.3689e-08
54400 4.5674e-08
54500 5.6571e-08
54600 5.5389e-08
54700 6.2687e-08
54800 6.467e-08
54900 6.326e-08
55000 6.3611e-08
55100 6.4525e-08
55200 6.5523e-08
55300 6.5988e-08
55400 6.5597e-08
55500 6.6007e-08
55600 6.6309e-08
55700 6.652e-08
55800 6.6778e-08
55900 6.6014e-08
56000 6.5828e-08
56100 6.5391e-08
56200 6.7034e-08
56300 6.7237e-08
56400 6.5676e-08
56500 6.5104e-08
56600 6.4408e-08
56700 6.4438e-08
56800 6.3223e-08
56900 6.1405e-08
57000 6.1118e-08
57100 6.3087e-08
57200 6.1964e-08
57300 6.1987e-08
57400 6.4241e-08
57500 6.6483e-08
57600 6.7898e-08
57700 6.8377e-08
57800 6.7249e-08
57900 6.9872e-08
58000 7.07e-08
58100 7.2247e-08
58200 7.562e-08
58300 7.6336e-08
58400 7.5947e-08
58500 7.7638e-08
58600 7.6063e-08
58700 7.6656e-08
58800 7.7639e-08
58900 8.0477e-08
59000 7.8739e-08
59100 7.8677e-08
59200 7.883e-08
59300 8.1922e-08
59400 8.2647e-08
59500 8.4667e-08
59600 8.6389e-08
59700 8.906e-08
59800 8.7309e-08
59900 9e-08
60000 8.8431e-08
60100 8.9271e-08
60200 9.1868e-08
60300 9.2736e-08
60400 9.7086e-08
60500 9.7267e-08
60600 9.3816e-08
60700 9.8128e-08
60800 9.7379e-08
