"wave" "response"
8300 0.0006734183
8400 0.0010540414
8500 0.0015484649
8600 0.0021712427
8700 0.0029325725
8800 0.0038483006
8900 0.0049294882
9000 0.0410339761
9100 0.2162517427
9200 0.6918154321
9300 1.692904147
9400 2.4444793587
9500 2.6931412326
9600 2.7375273725
9700 2.7416470495
9800 2.745857518
9900 2.7468339663
10000 2.7456002385
10100 2.7391802079
10200 2.7333801631
10300 2.7275751457
10400 2.7208038307
10500 2.7177068027
10600 2.7117253087
10700 2.7057539477
10800 2.7038009788
10900 2.6992028621
11000 2.6941171532
11100 2.6853782124
11200 2.6811964338
11300 2.6743275553
11400 2.6698431798
11500 2.6649920589
11600 2.6441865459
11700 2.4932413556
11800 2.1873296673
11900 1.5162097528
12000 0.7520749021
12100 0.2845515429
12200 0.118459938
12300 0.0154099819
12400 0.0004817682
12500 0.0003776119
12600 0.0002891068
12700 0.0002150942
12800 0.0001542642
12900 0.0001055096
