"wave" "response" 
9402.697 0
9421.9761 0.042357174
9426.9158 0.05320999
9432.2305 0.067468546
9437.5451 0.081474255
9442.8597 0.095172405
9448.1743 0.10940043
9453.489 0.12642663
9458.8036 0.14319517
9464.1182 0.15687328
9469.4329 0.17316923
9474.7475 0.18998484
9480.0621 0.20637698
9485.3768 0.21982327
9490.6914 0.23630945
9496.006 0.25312091
9501.3206 0.26921884
9506.6353 0.28268473
9511.9499 0.29929344
9517.2645 0.31608786
9522.5792 0.33011798
9527.8938 0.34385832
9533.2084 0.3607754
9538.523 0.37775289
9543.8377 0.39160545
9549.1523 0.40534141
9554.4669 0.41903252
9559.7816 0.43223165
9565.0962 0.44181521
9570.4108 0.45066888
9575.7254 0.45902738
9581.0401 0.46661561
9586.3547 0.47047102
9591.6693 0.47359447
9596.984 0.47615778
9602.2986 0.47791221
9607.6132 0.47913972
9612.9279 0.48011761
9618.2425 0.48093971
9623.5571 0.48165766
9628.8717 0.48229218
9634.1864 0.48287167
9639.501 0.48340536
9644.8156 0.48390231
9650.1303 0.4843667
9655.4449 0.48480827
9660.7595 0.4852237
9666.0741 0.48562133
9671.3888 0.48600272
9676.7034 0.48636726
9682.018 0.48671881
9687.3327 0.48705736
9692.6473 0.48738339
9697.9619 0.48770049
9703.2766 0.48800823
9708.5912 0.48830661
9713.9058 0.4885988
9719.2204 0.48888392
9724.5351 0.48916198
9729.8497 0.48943423
9735.1643 0.4897024
9740.479 0.48996596
9745.7936 0.49022488
9751.1082 0.49048086
9756.4228 0.49073461
9761.7375 0.49098646
9767.0521 0.49123654
9772.3667 0.49148643
9777.6814 0.49173572
9782.996 0.4919842
9788.3106 0.49223213
9793.6252 0.49248005
9798.9399 0.49272796
9804.2545 0.49297583
9809.5691 0.49322339
9814.8838 0.49347031
9820.1984 0.49371484
9825.513 0.49395699
9830.8277 0.49419716
9836.1423 0.49443534
9841.4569 0.49467058
9846.7715 0.49490289
9852.0862 0.4951323
9857.4008 0.49535838
9862.7154 0.49558041
9868.0301 0.4957984
9873.3447 0.4960141
9878.6593 0.49622655
9883.9739 0.49643498
9889.2886 0.49663959
9894.6032 0.49684133
9899.9178 0.49703936
9905.2325 0.49723336
9910.5471 0.49742376
9915.8617 0.49761127
9921.1764 0.49779432
9926.491 0.49797271
9931.8056 0.49814738
9937.1202 0.49831903
9942.4349 0.49848655
9947.7495 0.49864993
9953.0641 0.49881001
9958.3788 0.49896652
9963.6934 0.49911769
9969.008 0.49926352
9974.3226 0.49940562
9979.6373 0.49954366
9984.9519 0.49967699
9990.2665 0.49980571
9995.5811 0.49993092
10000.896 0.50005192
10006.21 0.50016827
10011.525 0.50028056
10016.84 0.50039055
10022.154 0.50049869
10027.469 0.50060509
10032.784 0.50071027
10038.098 0.50081487
10043.413 0.50092001
10048.727 0.50102572
