"wave" "response"
5010 0
8060 0
8070 1e-04
8080 1e-04
8090 2e-04
8100 0
8550 0
8560 2e-04
8570 4e-04
8580 7e-04
8590 0.0011
8600 0.0012
8610 0
8840 0
8850 1e-04
8860 1e-04
8870 1e-04
8880 1e-04
8890 1e-04
8900 1e-04
8910 1e-04
8920 1e-04
8930 1e-04
8940 1e-04
8950 1e-04
8960 2e-04
8970 2e-04
8980 2e-04
8990 2e-04
9000 0
9010 0
9020 5e-04
9030 0
9040 6e-04
9050 0.0022
9060 0.0013
9070 8e-04
9080 3e-04
9090 8e-04
9100 6e-04
9110 4e-04
9120 0
9130 8e-04
9140 0
9150 4e-04
9160 3e-04
9170 3e-04
9180 7e-04
9190 0
9200 0.0026
9210 0.0013
9220 0.0012
9230 0.0018
9240 0.0015
9250 0
9260 0.0013
9270 0.001
9280 8e-04
9290 0.0017
9300 0.0018
9310 0.001
9320 0.0022
9330 0.0012
9340 0.0031
9350 0.0034
9360 0.0032
9370 0.0028
9380 0.0042
9390 0.0027
9400 0.0043
9410 0.0043
9420 0.0054
9430 0.0055
9440 0.0061
9450 0.0072
9460 0.0092
9470 0.0086
9480 0.0102
9490 0.0106
9500 0.0111
9510 0.0129
9520 0.0168
9530 0.0168
9540 0.0189
9550 0.0212
9560 0.0237
9570 0.0268
9580 0.0336
9590 0.037
9600 0.0431
9610 0.0505
9620 0.0568
9630 0.0672
9640 0.0772
9650 0.0898
9660 0.1051
9670 0.1218
9680 0.1438
9690 0.1699
9700 0.1961
9710 0.2243
9720 0.256
9730 0.2905
9740 0.3222
9750 0.3589
9760 0.3945
9770 0.4334
9780 0.4639
9790 0.4895
9800 0.5125
9810 0.5375
9820 0.5532
9830 0.5643
9840 0.5723
9850 0.5755
9860 0.579
9870 0.5788
9880 0.5776
9890 0.5782
9900 0.5773
9910 0.5773
9920 0.5788
9930 0.5803
9940 0.5827
9950 0.5847
9960 0.5873
9970 0.592
9980 0.5963
9990 0.5998
10000 0.6041
10010 0.6105
10020 0.6159
10030 0.6222
10040 0.6281
10050 0.6341
10060 0.6411
10070 0.6459
10080 0.6504
10090 0.6544
10100 0.6577
10110 0.6609
10120 0.6627
10130 0.6646
10140 0.666
10150 0.6674
10160 0.6697
10170 0.6713
10180 0.672
10190 0.6705
10200 0.6702
10210 0.669
10220 0.6674
10230 0.6649
10240 0.6631
10250 0.6607
10260 0.6576
10270 0.655
10280 0.6529
10290 0.6504
10300 0.6498
10310 0.6491
10320 0.6479
10330 0.6473
10340 0.6464
10350 0.6458
10360 0.6466
10370 0.6478
10380 0.6494
10390 0.6513
10400 0.6562
10410 0.6612
10420 0.6664
10430 0.6727
10440 0.6797
10450 0.6877
10460 0.6958
10470 0.7032
10480 0.7102
10490 0.7145
10500 0.7176
10510 0.7204
10520 0.7182
10530 0.7121
10540 0.7053
10550 0.6934
10560 0.676
10570 0.6575
10580 0.6363
10590 0.6093
10600 0.5804
10610 0.5502
10620 0.5164
10630 0.4836
10640 0.4512
10650 0.4189
10660 0.3858
10670 0.3537
10680 0.3265
10690 0.2983
10700 0.269
10710 0.2437
10720 0.2189
10730 0.1972
10740 0.1769
10750 0.1568
10760 0.1384
10770 0.1203
10780 0.1053
10790 0.0921
10800 0.079
10810 0.0683
10820 0.0593
10830 0.0504
10840 0.0428
10850 0.0374
10860 0.0322
10870 0.0274
10880 0.0238
10890 0.0204
10900 0.0179
10910 0.0157
10920 0.0134
10930 0.0124
10940 0.0116
10950 0.0096
10960 0.008
10970 0.0078
10980 0.0075
10990 0.0073
11000 0.0062
11010 0.0038
11020 0.0034
11030 0.0042
11040 0.0035
11050 0.0035
11060 0.0041
11070 0.003
11080 0.0017
11090 0.0023
11100 0.0031
11110 0.0017
11120 0.0037
11130 0.0038
11140 0.0038
11150 0.0043
11160 0.0035
11170 0.0026
11180 0.002
11190 0.0022
11200 0.0023
11210 0.0018
11220 0.001
11230 5e-04
11240 0.0012
11250 0.0011
11260 4e-04
11270 0.0018
11280 0.0022
11290 0.0017
11300 1e-04
11310 3e-04
11320 8e-04
11330 0.0016
11340 4e-04
11350 4e-04
11360 8e-04
11370 9e-04
11380 0.0016
11390 0.0016
11400 1e-04
11410 0
11420 4e-04
11430 6e-04
11440 0
11460 0
11470 7e-04
11480 1e-04
11490 9e-04
11500 0.0013
11510 0
11530 0
11540 0.0014
11550 0.0011
11560 2e-04
11570 2e-04
11580 0
11630 0
11640 2e-04
11650 0.0014
11660 0.0025
11670 0.0013
11680 0
11700 0
11710 8e-04
11720 9e-04
11730 0.0024
11740 0
11760 0
11770 0.0015
11780 0.0019
11790 0.0013
11800 7e-04
11810 0.001
11820 9e-04
11830 0.0018
11840 0
11920 0
11930 2e-04
11940 0.0014
11950 0
11960 5e-04
11970 0
11980 5e-04
11990 0
12000 5e-04
12010 0
13650 0
13660 2e-04
13670 2e-04
13680 0
13690 2e-04
13700 2e-04
13710 1e-04
13720 2e-04
13730 3e-04
13740 4e-04
13750 3e-04
13760 3e-04
13770 3e-04
13780 4e-04
13790 2e-04
13800 3e-04
13810 0
13820 2e-04
13830 0
13840 2e-04
13850 0
13860 1e-04
13870 2e-04
13880 0
13890 2e-04
13900 1e-04
13910 0
14120 0
14130 2e-04
14140 0
14150 0
14160 2e-04
14170 2e-04
14180 2e-04
14190 0
14200 2e-04
14210 3e-04
14220 3e-04
14230 3e-04
14240 3e-04
14250 3e-04
14260 3e-04
14270 4e-04
14280 3e-04
14290 4e-04
14300 4e-04
14310 4e-04
14320 3e-04
14330 4e-04
14340 4e-04
14350 4e-04
14360 4e-04
14370 4e-04
14380 3e-04
14390 4e-04
14400 4e-04
14410 4e-04
14420 4e-04
14430 3e-04
14440 3e-04
14450 3e-04
14460 2e-04
14470 3e-04
14480 3e-04
14490 3e-04
14500 2e-04
14510 2e-04
14520 2e-04
14530 2e-04
14540 2e-04
14550 2e-04
14560 2e-04
14570 2e-04
14580 1e-04
14590 1e-04
14600 0
15040 0
15050 2e-04
15060 2e-04
15070 2e-04
15080 2e-04
15090 2e-04
15100 2e-04
15110 2e-04
15120 2e-04
15130 2e-04
15140 2e-04
15150 2e-04
15160 2e-04
15170 2e-04
15180 2e-04
15190 3e-04
15200 3e-04
15210 3e-04
15220 3e-04
15230 3e-04
15240 3e-04
15250 3e-04
15260 3e-04
15270 3e-04
15280 3e-04
15290 3e-04
15300 3e-04
15310 3e-04
15320 3e-04
15330 3e-04
15340 3e-04
15350 3e-04
15360 3e-04
15370 3e-04
15380 3e-04
15390 3e-04
15400 3e-04
15410 3e-04
15420 3e-04
15430 3e-04
15440 3e-04
15450 3e-04
15460 3e-04
15470 2e-04
15480 2e-04
15490 2e-04
15500 2e-04
15510 2e-04
15520 2e-04
15530 2e-04
15540 2e-04
15550 2e-04
15560 2e-04
15570 2e-04
15580 2e-04
15590 2e-04
15600 2e-04
15610 2e-04
15620 2e-04
15630 0
16260 0
16270 2e-04
16280 2e-04
16290 2e-04
16300 2e-04
16310 2e-04
16320 2e-04
16330 2e-04
16340 2e-04
16350 2e-04
16360 2e-04
16370 2e-04
16380 2e-04
16390 2e-04
16400 2e-04
16410 2e-04
16420 2e-04
16430 2e-04
16440 3e-04
16450 3e-04
16460 3e-04
16470 3e-04
16480 3e-04
16490 3e-04
16500 3e-04
16510 3e-04
16520 3e-04
16530 3e-04
16540 3e-04
16550 3e-04
16560 3e-04
16570 3e-04
16580 3e-04
16590 3e-04
16600 3e-04
16610 3e-04
16620 3e-04
16630 3e-04
16640 3e-04
16650 3e-04
16660 3e-04
16670 3e-04
16680 3e-04
16690 3e-04
16700 3e-04
16710 3e-04
16720 3e-04
16730 2e-04
16740 2e-04
16750 2e-04
16760 2e-04
16770 2e-04
16780 2e-04
16790 2e-04
16800 2e-04
16810 0
25025 0
25037.6 8e-04
25050.1 0
25075.2 0
25087.8 0.0011
25100.4 3e-04
25113 0
25125.6 0
25138.3 0.0013
25150.9 3e-04
25163.6 0
25176.2 0
25188.9 5e-04
25201.6 0
25214.3 0
25227 5e-04
25239.8 3e-04
25252.5 3e-04
25265.3 0
25278.1 6e-04
25290.8 0
25367.8 0
25380.7 3e-04
25393.6 5e-04
25406.5 0
32010.2 0
