"wave" "response" 
6700 0.0006858705
6800 0.0010793703
6900 0.0015930741
7000 0.0022418054
7100 0.0030394409
7200 0.004001595
7300 0.0051446288
7400 0.0758093624
7500 0.341334824
7600 1.2515392642
7700 2.0744679663
7800 2.435119988
7900 2.6211626619
8000 2.6894072857
8100 2.6794918508
8200 2.6689212229
8300 2.6582648656
8400 2.6466129118
8500 2.6542732722
8600 2.6670392815
8700 2.6805281092
8800 2.6950485204
8900 2.7088541978
9000 2.7159027436
9100 2.7189195014
9200 2.7253029227
9300 2.7277808712
9400 2.7332130427
9500 2.7285330964
9600 2.540038179
9700 2.0381597985
9800 1.0857483889
9900 0.3385184215
10000 0.1155657483
10100 0.0042641337
10200 0.0004431231
