"wave" "response"
2010 0
8060 0
8070 0.001
8080 0.0011
8090 0.0012
8100 0.0015
8110 0.0017
8120 0.0022
8130 0.0026
8140 0.0033
8150 0.0047
8160 0.0063
8170 0.0086
8180 0.0118
8190 0.0164
8200 0.0231
8210 0.0327
8220 0.0459
8230 0.0706
8240 0.0951
8250 0.1248
8260 0.1611
8270 0.2041
8280 0.2513
8290 0.3029
8300 0.3569
8310 0.4287
8320 0.48
8330 0.5247
8340 0.5612
8350 0.5876
8360 0.6043
8370 0.6135
8380 0.6176
8390 0.6176
8400 0.6184
8410 0.6194
8420 0.6214
8430 0.6248
8440 0.6293
8450 0.6349
8460 0.6414
8470 0.6498
8480 0.6558
8490 0.6589
8500 0.6652
8510 0.6671
8520 0.669
8530 0.6709
8540 0.6721
8550 0.6734
8560 0.6746
8570 0.6759
8580 0.6767
8590 0.6781
8600 0.6797
8610 0.6819
8620 0.6841
8630 0.6866
8640 0.6904
8650 0.6932
8660 0.6962
8670 0.6988
8680 0.7021
8690 0.7044
8700 0.7063
8710 0.7078
8720 0.7092
8730 0.7104
8740 0.7108
8750 0.7118
8760 0.713
8770 0.7141
8780 0.7158
8790 0.7176
8800 0.7194
8810 0.7214
8820 0.7233
8830 0.7251
8840 0.7268
8850 0.7283
8860 0.7299
8870 0.732
8880 0.7342
8890 0.7363
8900 0.7384
8910 0.7419
8920 0.7447
8930 0.7472
8940 0.7498
8950 0.7513
8960 0.7524
8970 0.7514
8980 0.7512
8990 0.751
9000 0.7508
9010 0.73
9020 0.7262
9030 0.7333
9040 0.7472
9050 0.7492
9060 0.7496
9070 0.7369
9080 0.7422
9090 0.7466
9100 0.7484
9110 0.7496
9120 0.7502
9130 0.7483
9140 0.7465
9150 0.756
9160 0.7473
9170 0.758
9180 0.7491
9190 0.7536
9200 0.7476
9210 0.7206
9220 0.6968
9230 0.6715
9240 0.5967
9250 0.551
9260 0.5025
9270 0.3958
9280 0.3386
9290 0.2871
9300 0.1922
9310 0.1498
9320 0.1129
9330 0.0891
9340 0.0519
9350 0.0405
9360 0.0309
9370 0.0189
9380 0.0149
9390 0.0124
9400 0.008
9410 0.006
9420 0.0046
9430 0.0032
9440 0.0018
9450 0.0013
9460 8e-04
9470 0
20070 0
20080 8e-04
20090 5e-04
20100 0
20180 0
20190 0.001
20200 0.0014
20210 8e-04
20220 0
20250 0
20260 5e-04
20270 0
20280 0
20290 0.001
20300 0.001
20310 3e-04
20320 4e-04
20330 0
20340 0
20350 7e-04
20360 9e-04
20370 9e-04
20380 5e-04
20390 4e-04
20400 9e-04
20410 7e-04
20420 0.001
20430 0.0013
20440 0.0015
20450 0.0014
20460 0.0012
20470 0.001
20480 9e-04
20490 7e-04
20500 0
20510 0
20520 9e-04
20530 0.0013
20540 9e-04
20550 6e-04
20560 5e-04
20570 0
20600 0
20610 5e-04
20620 8e-04
20630 5e-04
20640 0
20710 0
20720 4e-04
20730 3e-04
20740 0
20760 0
20770 4e-04
20780 0
20810 0
20820 7e-04
20830 0.0013
20840 9e-04
20850 3e-04
20860 3e-04
20870 5e-04
20880 8e-04
20890 0.0014
20900 0.0012
20910 3e-04
20920 5e-04
20930 7e-04
20940 0
20950 5e-04
20960 7e-04
20970 0
20980 0
20990 0.0013
21000 0.0012
21010 9e-04
21020 9e-04
21030 0
21050 0
21060 3e-04
21070 0
21080 0
21090 5e-04
21100 3e-04
21110 0
21180 0
21190 3e-04
21200 7e-04
21210 3e-04
21220 0
21230 0
21240 6e-04
21250 0.0012
21260 7e-04
21270 0
21280 0
21290 5e-04
21300 7e-04
21310 4e-04
21320 6e-04
21330 7e-04
21340 0
21390 0
21400 3e-04
21410 0
21490 0
21500 0.001
21510 0.0011
21520 2e-04
21530 0
21540 0
21550 6e-04
21560 3e-04
21570 0
21700 0
21710 4e-04
21720 7e-04
21730 7e-04
21740 0
21810 0
21820 0.0018
21830 0.0014
21840 0
21850 0
21860 0.0014
21870 0.0012
21880 0
21910 0
21920 6e-04
21930 0.0013
21940 0.0012
21950 6e-04
21960 0
21990 0
22000 0.001
22010 0.0014
22020 4e-04
22030 0
22070 0
22080 5e-04
22090 0.0011
22100 0.0014
22110 0.0015
22120 0.0015
22130 8e-04
22140 0
22150 4e-04
22160 0.0012
22170 0.0015
22180 9e-04
22190 0
22200 0
22210 8e-04
22220 6e-04
22230 3e-04
22240 5e-04
22250 6e-04
22260 0
22280 0
22290 0.0021
22300 0.0061
22310 0.0078
22320 0.0045
22330 0.0011
22340 0
22410 0
22420 7e-04
22430 8e-04
22440 0
22550 0
22560 4e-04
22570 3e-04
22580 0
22610 0
22620 9e-04
22630 0.0018
22640 0.0021
22650 0.0012
22660 6e-04
22670 0.0011
22680 0.001
22690 0
22740 0
22750 3e-04
22760 0
22770 0
22780 6e-04
22790 0.001
22800 6e-04
22810 0
22820 0
22830 0.0011
22840 0.0025
22850 0.0023
22860 7e-04
22870 0
22880 0
22890 0.0011
22900 0.0011
22910 4e-04
22920 0
22930 5e-04
22940 0.0011
22950 8e-04
22960 0
23040 0
23050 5e-04
23060 0.0012
23070 0.0011
23080 4e-04
23090 0
23120 0
23130 3e-04
23140 3e-04
23150 3e-04
23160 5e-04
23170 8e-04
23180 0.0013
23190 0.0013
23200 0.0011
23210 0.0012
23220 0.0011
23230 0
23260 0
23270 0.0016
23280 0.0016
23290 0.0012
23300 0.0014
23310 0.0014
23320 0.0014
23330 0.0019
23340 0.0021
23350 0.0011
23360 0
23370 0
23380 0.0012
23390 0.0015
23400 5e-04
23410 0
23460 0
23470 7e-04
23480 0.001
23490 3e-04
23500 0
23580 0
23590 9e-04
23600 0.0015
23610 0.0016
23620 0.0021
23630 0.0022
23640 0.0011
23650 0
23670 0
23680 8e-04
23690 0.0017
23700 0.0016
23710 0.001
23720 4e-04
23730 7e-04
23740 0.0023
23750 0.0025
23760 5e-04
23770 0
23780 0
23790 5e-04
23800 0.0012
23810 0.0014
23820 9e-04
23830 8e-04
23840 0.0012
23850 0.0014
23860 6e-04
23870 0
23930 0
23940 6e-04
23950 0.0019
23960 0.0017
23970 8e-04
23980 5e-04
23990 0.0012
24000 0.0022
24010 0.0024
24020 0.0013
24030 3e-04
24040 0
