"wave" "response"
3630 0
3655 2e-04
3680 6e-04
3705 0.001
3730 0.0015
3755 0.0019
3780 0.0027
3805 0.0044
3830 0.0084
3855 0.0158
3880 0.0268
3905 0.0407
3930 0.0571
3955 0.0754
3980 0.0947
4005 0.1139
4030 0.1319
4055 0.148
4080 0.1619
4105 0.1742
4130 0.1852
4155 0.1949
4180 0.2038
4205 0.2119
4230 0.2194
4255 0.2266
4280 0.2335
4305 0.2402
4330 0.2469
4355 0.2535
4380 0.26
4405 0.2662
4430 0.2722
4455 0.2776
4480 0.2828
4505 0.2879
4530 0.2933
4555 0.2989
4580 0.3049
4605 0.3107
4630 0.3163
4655 0.3213
4680 0.3257
4705 0.3297
4730 0.3335
4755 0.3372
4780 0.3408
4805 0.3445
4830 0.3483
4855 0.3524
4880 0.3566
4905 0.3609
4930 0.3651
4955 0.3695
4980 0.3737
5005 0.3778
5030 0.3817
5055 0.3853
5080 0.3885
5105 0.3909
5130 0.3923
5155 0.3927
5180 0.3931
5205 0.3925
5230 0.3826
5255 0.3557
5280 0.3141
5305 0.263
5330 0.2077
5355 0.1534
5380 0.1039
5405 0.0628
5430 0.0339
5455 0.0192
5480 0.013
5505 0.009
5530 0.0059
5555 0.0038
5580 0.0025
5605 0.0018
5630 0.0014
5655 0.0012
5680 0.0011
5705 0.001
5730 7e-04
5755 6e-04
5780 4e-04
5805 1e-04
5830 0
