"wave" "response"
2996.400 0.0000849209
3026.500 0.0000102416
3056.600 0.0000051717
3086.700 0.0000150150
3116.800 0.0000184573
3146.900 0.0000066555
3176.900 0.0000040315
3207.000 0.0000047479
3237.100 0.0000020539
3267.200 0.0000020730
3296.700 0.0000020917
3326.700 0.0000021108
3356.800 0.0000021298
3386.800 0.0000028652
3416.900 0.0000036133
3446.900 0.0000036451
3477.000 0.0000022061
3507.000 0.0000007417
3537.100 0.0000007481
3567.100 0.0000015089
3597.100 0.0000015216
3627.200 0.0000023014
3657.200 0.0000038674
3687.200 0.0000023395
3717.300 0.0000031447
3747.300 0.0000705357
3777.300 0.0003259450
3807.900 0.0009607853
3837.900 0.0012435233
3867.900 0.0015166539
3897.900 0.0039430629
3927.900 0.0120157662
3957.900 0.0339670702
3987.900 0.0727174619
4017.900 0.1303295349
4047.900 0.2492887410
4077.900 0.4215525790
4107.800 0.5308371177
4137.800 0.5647921891
4168.300 0.5771572835
4198.300 0.5796048384
4228.300 0.6058844063
4258.200 0.6232947390
4288.200 0.6217795583
4318.100 0.6489248290
4348.100 0.6510530827
4378.600 0.6509083473
4408.600 0.6554700642
4438.500 0.6766346580
4468.400 0.6755417935
4498.400 0.6704756858
4528.300 0.6761779130
4558.800 0.6897721700
4588.700 0.6861752598
4618.600 0.7041099627
4648.500 0.7179132951
4679.000 0.6960589238
4708.900 0.7135633760
4738.800 0.7346673125
4768.700 0.7423728395
4799.200 0.7432703621
4829.000 0.7481569528
4858.900 0.7505402974
4888.800 0.7596762407
4919.300 0.7745799137
4949.100 0.7769757175
4979.000 0.7846415005
5009.400 0.7835134632
5039.300 0.7766061437
5069.100 0.7635574018
5099.500 0.7731262436
5129.400 0.7893778217
5159.200 0.7929312103
5189.600 0.7790388504
5219.500 0.7291289087
5249.300 0.7061459256
5279.700 0.7373154609
5309.500 0.7648571830
5339.900 0.7414410870
5369.700 0.5891273013
5399.500 0.3450963839
5429.800 0.1657598621
5459.600 0.0778367198
5490.000 0.0377198909
5519.800 0.0200234259
5550.100 0.0113074993
5579.900 0.0068990149
5610.200 0.0044103785
5640.000 0.0029439208
5670.300 0.0020051482
5700.100 0.0013960192
5730.400 0.0009925901
5760.100 0.0007236380
5790.400 0.0005376232
5820.200 0.0004074425
5850.500 0.0003167617
5880.200 0.0002499712
5910.500 0.0002050069
5940.200 0.0001708606
5970.500 0.0001426885
6000.700 0.0000989923
6030.400 0.0000510165
6060.700 0.0000269180
6090.400 0.0000103047
6120.600 0.0000012945
6150.900 0.0000026018
6180.500 0.0000013072
6210.800 0.0000013136
6241.000 0.0000013199
6270.600 0.0000013262
6300.900 0.0000013326
6331.100 0.0000013390
6360.700 0.0000013453
6390.900 0.0000013517
6421.100 0.0000013580
6451.300 0.0000013644
6480.900 0.0000013707
6511.100 0.0000013771
6541.200 0.0000013834
6571.400 0.0000013898
6601.000 0.0000013961
6631.100 0.0000014025
6661.300 0.0000014088
6691.400 0.0000014152
6721.500 0.0000014216
6751.700 0.0000014280
6781.200 0.0000014342
6811.400 0.0000014406
6841.500 0.0000014469
6871.600 0.0000014533
6901.700 0.0000014597
6931.700 0.0000014660
6961.800 0.0000014724
6991.900 0.0000014788
7022.000 0.0000014851
7052.100 0.0000014915
7082.100 0.0000014978
7112.200 0.0000015042
7142.200 0.0000015105
7172.200 0.0000015169
7202.300 0.0000015233
7232.300 0.0000000000
