"wave" "response"
6430 0
6455 1e-04
6480 3e-04
6505 3e-04
6530 3e-04
6555 3e-04
6580 3e-04
6605 4e-04
6630 8e-04
6655 0.0017
6680 0.003
6705 0.005
6730 0.0092
6755 0.0175
6780 0.0311
6805 0.0509
6830 0.0764
6855 0.1064
6880 0.1402
6905 0.1794
6930 0.2225
6955 0.2649
6980 0.3009
7005 0.3272
7030 0.3524
7055 0.3753
7080 0.3929
7105 0.401
7130 0.396
7155 0.3762
7180 0.36
7205 0.3673
7230 0.3777
7255 0.3765
7280 0.3716
7305 0.3721
7330 0.3796
7355 0.3797
7380 0.376
7405 0.3739
7430 0.3724
7455 0.3705
7480 0.3671
7505 0.3621
7530 0.3579
7555 0.358
7580 0.3515
7605 0.1494
7630 0.2132
7655 0.2703
7680 0.3379
7705 0.3345
7730 0.3322
7755 0.3287
7780 0.3246
7805 0.3202
7830 0.3159
7855 0.3121
7880 0.3093
7905 0.3079
7930 0.3083
7955 0.3098
7980 0.3114
8005 0.312
8030 0.3101
8055 0.305
8080 0.2971
8105 0.2855
8130 0.2631
8155 0.2274
8180 0.1842
8205 0.1396
8230 0.0989
8255 0.0664
8280 0.0417
8305 0.0241
8330 0.013
8355 0.0076
8380 0.0054
8405 0.0037
8430 0.0022
8455 0.0015
8480 0.0011
8505 0.001
8530 0.001
8555 9e-04
8580 6e-04
8605 2e-04
8630 0
