"wave" "response"
6090.400 0.0000000000
6120.600 0.0000008086
6150.900 0.0000008126
6180.500 0.0000008165
6210.800 0.0000008205
6241.000 0.0000057713
6270.600 0.0000115975
6300.900 0.0000266362
6331.100 0.0000702552
6360.700 0.0002167945
6390.900 0.0007530952
6421.100 0.0021995521
6451.300 0.0033732200
6480.900 0.0033005224
6511.100 0.0032978238
6541.200 0.0038445437
6571.400 0.0050897930
6601.000 0.0074201140
6631.100 0.0116562458
6661.300 0.0191777803
6691.400 0.0324914814
6721.500 0.0544744460
6751.700 0.0899912264
6781.200 0.1464354568
6811.400 0.2321226930
6841.500 0.3396819424
6871.600 0.4470027848
6901.700 0.5171227212
6931.700 0.5396725341
6961.800 0.5357153891
6991.900 0.5271491742
7022.000 0.5243865766
7052.100 0.5290944096
7082.100 0.5387530473
7112.200 0.5503246937
7142.200 0.5617683309
7172.200 0.5714884345
7202.300 0.5773596459
7232.300 0.5758679935
7262.300 0.5680771988
7292.300 0.5558092988
7322.300 0.5424851386
7352.400 0.5318242999
7382.300 0.5258395089
7412.300 0.5247354581
7442.300 0.5266985352
7472.300 0.5286685058
7502.300 0.5288760922
7532.200 0.5277771122
7562.700 0.5272583701
7592.700 0.5289883421
7622.600 0.5339019275
7652.500 0.5404302746
7682.500 0.5457581548
7712.900 0.5477342243
7742.900 0.5452253491
7772.800 0.5401837399
7802.700 0.5349012397
7833.100 0.5309971971
7863.000 0.5278244582
7892.900 0.5249764729
7922.700 0.5213102827
7953.200 0.5160931926
7983.000 0.5094105068
8012.900 0.5020529815
8043.300 0.4939685423
8073.100 0.4858926778
8103.500 0.4775758352
8133.300 0.4699903508
8163.100 0.4642989597
8193.500 0.4609427723
8223.300 0.4630331365
8253.600 0.4656530447
8283.400 0.4623262704
8313.700 0.4466495426
8343.500 0.4133765978
8373.800 0.3587967102
8403.600 0.2862211494
8433.900 0.2047926151
8463.600 0.1345135115
8493.900 0.0833783882
8523.600 0.0511315546
8553.900 0.0323999715
8583.600 0.0215914445
8613.800 0.0149298045
8644.100 0.0110642305
8673.800 0.0088150974
8704.000 0.0072371671
8734.200 0.0059930659
8763.900 0.0050918444
8794.100 0.0041462973
8824.300 0.0030682316
8854.500 0.0021137017
8884.100 0.0014083729
8914.300 0.0008879328
8944.400 0.0005848996
8974.600 0.0004031034
9004.200 0.0002735870
9034.300 0.0002040869
9064.500 0.0001604611
9094.600 0.0001261522
9124.700 0.0001121048
9154.800 0.0000979618
9184.900 0.0000934303
9214.400 0.0000973826
9244.500 0.0001038068
9274.600 0.0001237481
9304.700 0.0001462750
9334.700 0.0001590791
9364.800 0.0001496940
9394.800 0.0001054942
9424.800 0.0000659890
9454.800 0.0000424674
9484.800 0.0000263131
9514.800 0.0000188545
9545.400 0.0000138710
9575.400 0.0000113847
9605.300 0.0000088825
9635.300 0.0000089102
9665.300 0.0000076610
9695.200 0.0000076848
9725.100 0.0000102780
9755.600 0.0000128878
9785.500 0.0000206837
9815.500 0.0000272303
9845.400 0.0000182089
9875.800 0.0000078279
9905.700 0.0000026172
9935.600 0.0000013125
9965.400 0.0000000000
