"wave" "response"
5380 0
5405 0.0012
5430 0.0087
5455 0.0228
5480 0.044
5505 0.0718
5530 0.106
5555 0.1459
5580 0.1888
5605 0.2315
5630 0.2708
5655 0.3041
5680 0.3314
5705 0.3536
5730 0.3715
5755 0.3859
5780 0.3974
5805 0.4067
5830 0.4143
5855 0.4209
5880 0.4268
5905 0.4322
5930 0.4375
5955 0.4428
5980 0.448
6005 0.4529
6030 0.4571
6055 0.4604
6080 0.4631
6105 0.4656
6130 0.4685
6155 0.4721
6180 0.4763
6205 0.4807
6230 0.4854
6255 0.4899
6280 0.4942
6305 0.4982
6330 0.5017
6355 0.5044
6380 0.5067
6405 0.5087
6430 0.5106
6455 0.5128
6480 0.5149
6505 0.5166
6530 0.5174
6555 0.517
6580 0.5162
6605 0.5145
6630 0.5035
6655 0.4757
6680 0.433
6705 0.3793
6730 0.3182
6755 0.2532
6780 0.188
6805 0.1267
6830 0.0759
6855 0.0421
6880 0.0236
6905 0.015
6930 0.0111
6955 0.0085
6980 0.0062
7005 0.0044
7030 0.0031
7055 0.0023
7080 0.0017
7105 0.0014
7130 0.0012
7155 8e-04
7180 5e-04
7205 2e-04
7230 0
