"wave" "response"
4498.900 0.0000000000
4528.900 0.0000582365
4559.400 0.0000506668
4589.300 0.0000553706
4619.200 0.0000652646
4649.100 0.0000649493
4679.600 0.0000624035
4709.500 0.0000657930
4739.400 0.0000707251
4769.300 0.0000673857
4799.800 0.0000624822
4829.700 0.0000674717
4859.600 0.0000725180
4889.400 0.0000721877
4919.900 0.0000663889
4949.800 0.0000667920
4979.600 0.0000711477
5010.100 0.0000843084
5039.900 0.0001000128
5069.800 0.0001110683
5100.200 0.0001109251
5130.000 0.0001180894
5159.900 0.0001302446
5190.300 0.0001573791
5220.100 0.0002005482
5250.000 0.0002842055
5280.400 0.0004744617
5310.200 0.0008935876
5340.600 0.0017931607
5370.400 0.0035722370
5400.200 0.0065711658
5430.600 0.0114480420
5460.400 0.0197979210
5490.700 0.0364888455
5520.500 0.0698549024
5550.900 0.1307120332
5580.600 0.2263993848
5611.000 0.3302240531
5640.700 0.4143569626
5671.100 0.4855675662
5700.800 0.5497105906
5731.200 0.6043838777
5760.900 0.6369562624
5791.200 0.6498855013
5821.000 0.6539667970
5851.200 0.6595129617
5881.000 0.6650317940
5911.300 0.6710940308
5941.000 0.6747161278
5971.300 0.6778602025
6001.500 0.6846292189
6031.200 0.6935409422
6061.500 0.7029684340
6091.200 0.7075451735
6121.400 0.7068889900
6151.700 0.7017127453
6181.400 0.6952794535
6211.600 0.6900246250
6241.800 0.6858478896
6271.500 0.6862056740
6301.700 0.6906937316
6331.900 0.6978025565
6361.600 0.7070175069
6391.800 0.7158695779
6422.000 0.7210237314
6452.200 0.7191617236
6481.800 0.7148063956
6512.000 0.7118884578
6542.100 0.7123180859
6572.300 0.7150490163
6601.900 0.7210960628
6632.100 0.7261927973
6662.200 0.7275702869
6692.400 0.7263528843
6722.500 0.7223073062
6752.600 0.7225109147
6782.200 0.7266104697
6812.300 0.7348889354
6842.400 0.7411753500
6872.500 0.7353115030
6902.600 0.6960770320
6932.700 0.5997094565
6962.800 0.4524838929
6992.900 0.3057670911
7023.000 0.2026222648
7053.000 0.1415990818
7083.100 0.1129386664
7113.200 0.1083159375
7143.200 0.1156342413
7173.300 0.0895405887
7203.300 0.0349626536
7233.300 0.0099673252
7263.300 0.0032447534
7293.400 0.0012574152
7323.400 0.0005510748
7353.400 0.0002649928
7383.400 0.0001371394
7413.400 0.0000706136
7443.400 0.0000401762
7473.300 0.0000249147
7503.300 0.0000166764
7533.300 0.0000023919
7563.800 0.0000024015
7593.700 0.0000024111
7623.700 0.0000012103
7653.600 0.0000012150
7683.600 0.0000012198
7714.000 0.0000012246
7744.000 0.0000012294
7773.900 0.0000012341
7803.800 0.0000000000
