"wave" "response"
2980 0
3005 1e-04
3030 4e-04
3055 0.0011
3080 0.0022
3105 0.0045
3130 0.0082
3155 0.0143
3180 0.0214
3205 0.0291
3230 0.0367
3255 0.0443
3280 0.0517
3305 0.0588
3330 0.0654
3355 0.0712
3380 0.0762
3405 0.0811
3430 0.085
3455 0.089
3480 0.0937
3505 0.0985
3530 0.102
3555 0.1042
3580 0.1058
3605 0.1076
3630 0.1096
3655 0.1113
3680 0.112
3705 0.1107
3730 0.1072
3755 0.1018
3780 0.0941
3805 0.0841
3830 0.0723
3855 0.0594
3880 0.045
3905 0.0294
3930 0.016
3955 0.0083
3980 0.0047
4005 0.0025
4030 0.0011
4055 7e-04
4080 5e-04
4105 2e-04
4130 0
