"wave" "response"
3116.800 0.0000000000
3146.900 0.0000158512
3176.900 0.0005840973
3207.000 0.0041417526
3237.100 0.0554455439
3267.200 0.2056353021
3296.700 0.2630078146
3326.700 0.2899671700
3356.800 0.3086485286
3386.800 0.3282515847
3416.900 0.3320877183
3446.900 0.3513957649
3477.000 0.3768898304
3507.000 0.3874653813
3537.100 0.3897291313
3567.100 0.4105808249
3597.100 0.4505630008
3627.200 0.4615900266
3657.200 0.4708777754
3687.200 0.4865577678
3717.300 0.4863852068
3747.300 0.4641810370
3777.300 0.4814414237
3807.900 0.3898250920
3837.900 0.2131068963
3867.900 0.1060669178
3897.900 0.0491303093
3927.900 0.0240787694
3957.900 0.0118898848
3987.900 0.0062427568
4017.900 0.0034990273
4047.900 0.0020831429
4077.900 0.0013134615
4107.800 0.0009012376
4137.800 0.0005859113
4168.300 0.0003627725
4198.300 0.0002584687
4228.300 0.0000887433
4258.200 0.0000178744
4288.200 0.0000012000
4318.100 0.0000000000
