"wave" "response"
7730 0
7755 0
7780 1e-04
7805 1e-04
7830 1e-04
7855 2e-04
7880 2e-04
7905 3e-04
7930 4e-04
7955 6e-04
7980 0.001
8005 0.0015
8030 0.0024
8055 0.0036
8080 0.0051
8105 0.0071
8130 0.0096
8155 0.0126
8180 0.0162
8205 0.0203
8230 0.0249
8255 0.0298
8280 0.0353
8305 0.0413
8330 0.0475
8355 0.0526
8380 0.0564
8405 0.0597
8430 0.0627
8455 0.0655
8480 0.0678
8505 0.0699
8530 0.0716
8555 0.073
8580 0.0742
8605 0.0751
8630 0.0757
8655 0.076
8680 0.076
8705 0.0758
8730 0.0752
8755 0.0745
8780 0.0736
8805 0.0725
8830 0.0712
8855 0.07
8880 0.0687
8905 0.067
8930 0.063
8955 0.0581
8980 0.0544
9005 0.0529
9030 0.0527
9055 0.0527
9080 0.0519
9105 0.0504
9130 0.049
9155 0.0483
9180 0.0488
9205 0.0495
9230 0.049
9255 0.0462
9280 0.0405
9305 0.0342
9330 0.0295
9355 0.0276
9380 0.0284
9405 0.0297
9430 0.0289
9455 0.0268
9480 0.0267
9505 0.0272
9530 0.0262
9555 0.026
9580 0.0269
9605 0.0277
9630 0.0285
9655 0.0295
9680 0.0301
9705 0.0293
9730 0.0274
9755 0.0257
9780 0.0248
9805 0.0243
9830 0.0237
9855 0.0229
9880 0.0216
9905 0.0202
9930 0.0189
9955 0.0178
9980 0.0166
10005 0.0154
10030 0.0143
10055 0.0132
10080 0.0121
10105 0.0112
10130 0.0103
10155 0.0094
10180 0.0085
10205 0.0077
10230 0.007
10255 0.0063
10280 0.0057
10305 0.0052
10330 0.0047
10355 0.0043
10380 0.0038
10405 0.0035
10430 0.0031
10455 0.0029
10480 0.0027
10505 0.0025
10530 0.0022
10555 0.0021
10580 0.002
10605 0.0019
10630 0.0018
10655 0.0017
10680 0.0015
10705 0.0014
10730 0.0013
10755 0.0012
10780 0.0011
10805 0.001
10830 0.001
10855 8e-04
10880 7e-04
10905 7e-04
10930 7e-04
10955 6e-04
10980 6e-04
11005 5e-04
11030 5e-04
11055 4e-04
11080 4e-04
11105 2e-04
11130 2e-04
11155 1e-04
11180 1e-04
11205 0
11230 0
