"wave" "response"
7532.200 0.0000000000
7562.700 0.0000008502
7592.700 0.0000008536
7622.600 0.0000068556
7652.500 0.0000077429
7682.500 0.0000086368
7712.900 0.0000078040
7742.900 0.0000060933
7772.800 0.0000096122
7802.700 0.0000087719
7833.100 0.0000096868
7863.000 0.0000141436
7892.900 0.0000230707
7922.700 0.0000356278
7953.200 0.0000581174
7983.000 0.0000924394
8012.900 0.0001621487
8043.300 0.0003092513
8073.100 0.0005463735
8103.500 0.0009875377
8133.300 0.0017674698
8163.100 0.0027788485
8193.500 0.0042500967
8223.300 0.0069816791
8253.600 0.0107533370
8283.400 0.0171469364
8313.700 0.0322800259
8343.500 0.0544169788
8373.800 0.0942110936
8403.600 0.1687114669
8433.900 0.2307166585
8463.600 0.3067909641
8493.900 0.3453331893
8523.600 0.3600282626
8553.900 0.3797195231
8583.600 0.3800806811
8613.800 0.3853658108
8644.100 0.3850025059
8673.800 0.3867276080
8704.000 0.3818173273
8734.200 0.3762086518
8763.900 0.3637738127
8794.100 0.3565536203
8824.300 0.3460873864
8854.500 0.3354694902
8884.100 0.3265294570
8914.300 0.3128804755
8944.400 0.3043725537
8974.600 0.2881586943
9004.200 0.2806363780
9034.300 0.2637194247
9064.500 0.2562305194
9094.600 0.2410246065
9124.700 0.2326425233
9154.800 0.2203537174
9184.900 0.2111899200
9214.400 0.2029758663
9244.500 0.1990385726
9274.600 0.1936416329
9304.700 0.1894251946
9334.700 0.1836228442
9364.800 0.1785888066
9394.800 0.1722403170
9424.800 0.1656430859
9454.800 0.1579010626
9484.800 0.1484141359
9514.800 0.1372251071
9545.400 0.1236903921
9575.400 0.1059046935
9605.300 0.0892813569
9635.300 0.0669519465
9665.300 0.0519597264
9695.200 0.0343053604
9725.100 0.0255225703
9755.600 0.0165730084
9785.500 0.0115479066
9815.500 0.0079880736
9845.400 0.0051124942
9875.800 0.0038403930
9905.700 0.0023887178
9935.600 0.0018474840
9965.400 0.0012435746
9995.800 0.0008697865
10025.700 0.0006841563
10055.500 0.0004374902
10085.900 0.0003560383
10115.700 0.0002479166
10146.100 0.0001722373
10175.900 0.0001418555
10206.200 0.0000906450
10236.000 0.0000805527
10266.300 0.0000611705
10296.100 0.0000520878
10326.300 0.0000464365
10356.100 0.0000337635
10386.400 0.0000315268
10416.100 0.0000269331
10446.300 0.0000211393
10476.600 0.0000212005
10506.300 0.0000165360
10536.500 0.0000142145
10566.200 0.0000142545
10596.400 0.0000107215
10626.600 0.0000095573
10656.800 0.0000095845
10686.400 0.0000072084
10716.600 0.0000072287
10746.700 0.0000060409
10776.900 0.0000048463
10807.000 0.0000048598
10836.600 0.0000048731
10866.700 0.0000036650
10896.800 0.0000036751
10926.900 0.0000036853
10957.000 0.0000024636
10987.100 0.0000024704
11017.100 0.0000024771
11047.200 0.0000012420
11077.200 0.0000024907
11107.200 0.0000024974
11137.300 0.0000012521
11167.300 0.0000012555
11197.300 0.0000012588
11227.300 0.0000012622
11257.200 0.0000012656
11287.200 0.0000012689
11317.700 0.0000012724
11347.600 0.0000000000
